mc	mn	mc_onset	mn_onset	timesig	staff	voice	label   	alt_label	globalkey	localkey	pedal	chord   	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
79	79	0       	0       	4/4    	5    	1    	IV      	         	F        	I       	     	IV      	IV     	    	       	       	            	       	         	M         	0                 	0                	-1, 3, 0   	           	-1  	-1
80	80	0       	0       	4/4    	5    	1    	iii     	         	F        	I       	     	iii     	iii    	    	       	       	            	       	         	m         	0                 	0                	4, 1, 5    	           	4   	4
81	81	0       	0       	4/4    	5    	1    	ii      	         	F        	I       	     	ii      	ii     	    	       	       	            	       	         	m         	0                 	0                	2, -1, 3   	           	2   	2
81	81	3/4     	3/4     	4/4    	5    	1    	viio6   	         	F        	I       	     	viio6   	vii    	o   	6      	       	            	       	         	o         	0                 	0                	2, -1, 5   	           	5   	2
82	82	0       	0       	4/4    	5    	1    	I\\     	         	F        	I       	     	I       	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1    	           	0   	0
82	82	1/2     	1/2     	4/4    	5    	1    	I       	         	F        	I       	     	I       	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
83	83	0       	0       	4/4    	5    	1    	IV      	         	F        	I       	     	IV      	IV     	    	       	       	            	       	         	M         	0                 	0                	-1, 3, 0   	           	-1  	-1
83	83	1/2     	1/2     	4/4    	5    	1    	ii6     	         	F        	I       	     	ii6     	ii     	    	6      	       	            	       	         	m         	0                 	0                	-1, 3, 2   	           	2   	-1
83	83	3/4     	3/4     	4/4    	5    	1    	I       	         	F        	I       	     	I       	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
84	84	0       	0       	4/4    	5    	1    	V       	         	F        	I       	     	V       	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
85	85	0       	0       	4/4    	5    	1    	I       	         	F        	I       	     	I       	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
85	85	1/2     	1/2     	4/4    	5    	1    	IV6     	         	F        	I       	     	IV6     	IV     	    	6      	       	            	       	         	M         	0                 	0                	3, 0, -1   	           	-1  	3
86	86	0       	0       	4/4    	5    	1    	viio    	         	F        	I       	     	viio    	vii    	o   	       	       	            	       	         	o         	0                 	0                	5, 2, -1   	           	5   	5
86	86	1/2     	1/2     	4/4    	5    	1    	I       	         	F        	I       	     	I       	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
87	87	1/2     	1/2     	4/4    	5    	1    	V       	         	F        	I       	     	V       	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
88	88	0       	0       	4/4    	5    	1    	IM65    	         	F        	I       	     	IM65    	I      	M   	65     	       	            	       	         	MM7       	0                 	0                	4, 1, 5, 0 	           	0   	4
88	88	1/2     	1/2     	4/4    	5    	1    	ii6     	         	F        	I       	     	ii6     	ii     	    	6      	       	            	       	         	m         	0                 	0                	-1, 3, 2   	           	2   	-1
89	89	0       	0       	4/4    	5    	1    	V       	         	F        	I       	     	V       	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
89	89	1/2     	1/2     	4/4    	5    	1    	IV6     	         	F        	I       	     	IV6     	IV     	    	6      	       	            	       	         	M         	0                 	0                	3, 0, -1   	           	-1  	3
90	90	0       	0       	4/4    	5    	1    	V7      	         	F        	I       	     	V7      	V      	    	7      	       	            	       	         	Mm7       	0                 	0                	1, 5, 2, -1	           	1   	1
90	90	1/2     	1/2     	4/4    	5    	1    	V(64)   	         	F        	I       	     	V(64)   	V      	    	       	64     	            	       	         	M         	0                 	0                	1, 0, 4    	           	1   	1
91	91	0       	0       	4/4    	5    	1    	V(4)    	         	F        	I       	     	V(4)    	V      	    	       	4      	            	       	         	M         	0                 	0                	1, 0, 2    	           	1   	1
91	91	1/2     	1/2     	4/4    	5    	1    	V       	         	F        	I       	     	V       	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
92	92	0       	0       	4/4    	5    	1    	I\\     	         	F        	I       	     	I       	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1    	           	0   	0
