mc 	mn 	mc_onset	mn_onset	timesig	staff	voice	label       	alt_label	globalkey	localkey	pedal	chord       	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones  	added_tones	root	bass_note
88 	87 	0       	0       	3/1    	5    	1    	i           	         	C        	vi      	     	i           	i      	    	       	       	            	       	         	m         	0                 	1                	0, -3, 1     	           	0   	0
88 	87 	3       	3       	3/1    	5    	1    	v6          	         	C        	vi      	     	v6          	v      	    	6      	       	            	       	         	m         	0                 	1                	-2, 2, 1     	           	1   	-2
89 	88 	0       	0       	3/1    	5    	1    	iv6(6)      	         	C        	vi      	     	iv6(6)      	iv     	    	6      	6      	            	       	         	m         	0                 	1                	-4, 2, -1    	           	-1  	-4
89 	88 	2       	2       	3/1    	5    	1    	iv6         	         	C        	vi      	     	iv6         	iv     	    	6      	       	            	       	         	m         	0                 	1                	-4, 0, -1    	           	-1  	-4
89 	88 	3       	3       	3/1    	5    	1    	V           	         	C        	vi      	     	V           	V      	    	       	       	            	       	         	M         	0                 	1                	1, 5, 2      	           	1   	1
90 	89 	0       	0       	3/1    	5    	1    	i\\         	         	C        	vi      	     	i           	i      	    	       	       	            	       	\\       	m         	0                 	1                	0, -3, 1     	           	0   	0
90 	89 	3       	3       	3/1    	5    	1    	v6          	         	C        	vi      	     	v6          	v      	    	6      	       	            	       	         	m         	0                 	1                	-2, 2, 1     	           	1   	-2
91 	90 	0       	0       	3/1    	5    	1    	iv6(6)      	         	C        	vi      	     	iv6(6)      	iv     	    	6      	6      	            	       	         	m         	0                 	1                	-4, 2, -1    	           	-1  	-4
91 	90 	1       	1       	3/1    	5    	1    	iv6         	         	C        	vi      	     	iv6         	iv     	    	6      	       	            	       	         	m         	0                 	1                	-4, 0, -1    	           	-1  	-4
91 	90 	3       	3       	3/1    	5    	1    	V           	         	C        	vi      	     	V           	V      	    	       	       	            	       	         	M         	0                 	1                	1, 5, 2      	           	1   	1
92 	91 	0       	0       	3/1    	5    	1    	i           	         	C        	vi      	     	i           	i      	    	       	       	            	       	         	m         	0                 	1                	0, -3, 1     	           	0   	0
92 	91 	3       	3       	3/1    	5    	1    	v6          	         	C        	vi      	     	v6          	v      	    	6      	       	            	       	         	m         	0                 	1                	-2, 2, 1     	           	1   	-2
93 	92 	0       	0       	3/1    	5    	1    	iv6         	         	C        	vi      	     	iv6         	iv     	    	6      	       	            	       	         	m         	0                 	1                	-4, 0, -1    	           	-1  	-4
93 	92 	3       	3       	3/1    	5    	1    	V(4)        	         	C        	vi      	     	V(4)        	V      	    	       	4      	            	       	         	M         	0                 	1                	1, 0, 2      	           	1   	1
93 	92 	5       	5       	3/1    	5    	1    	V           	         	C        	vi      	     	V           	V      	    	       	       	            	       	         	M         	0                 	1                	1, 5, 2      	           	1   	1
94 	93 	0       	0       	3/1    	5    	1    	i           	         	C        	vi      	     	i           	i      	    	       	       	            	       	         	m         	0                 	1                	0, -3, 1     	           	0   	0
94 	93 	3       	3       	3/1    	5    	1    	v6          	         	C        	vi      	     	v6          	v      	    	6      	       	            	       	         	m         	0                 	1                	-2, 2, 1     	           	1   	-2
95 	94 	0       	0       	3/1    	5    	1    	iv6         	         	C        	vi      	     	iv6         	iv     	    	6      	       	            	       	         	m         	0                 	1                	-4, 0, -1    	           	-1  	-4
95 	94 	3       	3       	3/1    	5    	1    	V(4)        	         	C        	vi      	     	V(4)        	V      	    	       	4      	            	       	         	M         	0                 	1                	1, 0, 2      	           	1   	1
95 	94 	5       	5       	3/1    	5    	1    	V           	         	C        	vi      	     	V           	V      	    	       	       	            	       	         	M         	0                 	1                	1, 5, 2      	           	1   	1
