mc	mn	mc_onset	mn_onset	timesig	staff	voice	label   	alt_label	globalkey	localkey	pedal	chord   	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones    	added_tones	root	bass_note
69	69	1/2     	1/2     	4/4    	5    	1    	VII     	         	d        	i       	     	VII     	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1      	           	-2  	-2
70	70	0       	0       	4/4    	5    	1    	ii      	VII6     	d        	i       	     	ii      	ii     	    	       	       	            	       	         	m         	1                 	1                	2, -1, 3       	           	2   	2
70	70	1/2     	1/2     	4/4    	5    	1    	IV      	         	d        	i       	     	IV      	IV     	    	       	       	            	       	         	M         	1                 	1                	-1, 3, 0       	           	-1  	-1
71	71	0       	0       	4/4    	5    	1    	i       	         	d        	i       	     	i       	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1       	           	0   	0
72	72	0       	0       	4/4    	5    	1    	v       	         	d        	i       	     	v       	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2       	           	1   	1
72	72	1/2     	1/2     	4/4    	5    	1    	VII     	v6       	d        	i       	     	VII     	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1      	           	-2  	-2
73	73	0       	0       	4/4    	5    	1    	VII     	         	d        	i       	     	VII     	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1      	           	-2  	-2
73	73	1/2     	1/2     	4/4    	5    	1    	iv      	         	d        	i       	     	iv      	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0      	           	-1  	-1
74	74	0       	0       	4/4    	5    	1    	VI      	         	d        	i       	     	VI      	VI     	    	       	       	            	       	         	M         	1                 	1                	-4, 0, -3      	           	-4  	-4
74	74	1/2     	1/2     	4/4    	5    	1    	i       	VI6      	d        	i       	     	i       	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1       	           	0   	0
75	75	0       	0       	4/4    	5    	1    	III     	         	d        	i       	     	III     	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2      	           	-3  	-3
75	75	1/2     	1/2     	4/4    	5    	1    	III6    	         	d        	i       	     	III6    	III    	    	6      	       	            	       	         	M         	1                 	1                	1, -2, -3      	           	-3  	1
76	76	0       	0       	4/4    	5    	1    	V       	         	d        	i       	     	V       	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2        	           	1   	1
76	76	1/4     	1/4     	4/4    	5    	1    	ii65(+4)	         	d        	i       	     	ii65(+4)	ii     	    	65     	+4     	            	       	         	mm7       	1                 	1                	-1, 3, 0, 2    	1          	2   	-1
76	76	1/2     	1/2     	4/4    	5    	1    	V(4)    	         	d        	i       	     	V(4)    	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2        	           	1   	1
76	76	3/4     	3/4     	4/4    	5    	1    	V       	         	d        	i       	     	V       	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2        	           	1   	1
77	77	0       	0       	4/4    	5    	1    	I\\     	         	d        	i       	     	I       	I      	    	       	       	            	       	\\       	M         	1                 	1                	0, 4, 1        	           	0   	0
77	77	5/8     	5/8     	4/4    	5    	1    	I       	         	d        	i       	     	I       	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1        	           	0   	0
78	78	1/2     	1/2     	4/4    	5    	1    	i       	         	d        	i       	     	i       	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1       	           	0   	0
79	79	1/2     	1/2     	4/4    	5    	1    	VI      	         	d        	i       	     	VI      	VI     	    	       	       	            	       	         	M         	1                 	1                	-4, 0, -3      	           	-4  	-4
80	80	0       	0       	4/4    	5    	1    	iv[iv   	         	d        	i       	iv   	iv      	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0      	           	-1  	-1
83	83	1/4     	1/4     	4/4    	5    	1    	I       	         	d        	i       	iv   	I       	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1        	           	0   	0
83	83	1/2     	1/2     	4/4    	5    	1    	iio6]   	         	d        	i       	iv   	iio6    	ii     	o   	6      	       	            	       	         	o         	1                 	1                	-1, -4, 2      	           	2   	-1
84	84	0       	0       	4/4    	5    	1    	I\\     	         	d        	i       	     	I       	I      	    	       	       	            	       	\\       	M         	1                 	1                	0, 4, 1        	           	0   	0
