mc	mn	mc_onset	mn_onset	timesig	staff	voice	label    	alt_label	globalkey	localkey	pedal	chord    	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones  	added_tones	root	bass_note
27	27	0       	0       	4/4    	5    	1    	i.V      	         	d        	i       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
27	27	1/4     	1/4     	4/4    	5    	1    	#viio6/iv	         	d        	i       	     	#viio6/iv	#vii   	o   	6      	       	iv          	       	         	o         	1                 	1                	1, -2, 4     	           	4   	1
27	27	1/2     	1/2     	4/4    	5    	1    	iv(+2)   	         	d        	i       	     	iv(+2)   	iv     	    	       	+2     	            	       	         	m         	1                 	1                	-1, -4, 0    	1          	-1  	-1
27	27	3/4     	3/4     	4/4    	5    	1    	iv       	         	d        	i       	     	iv       	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0    	           	-1  	-1
28	28	1/4     	1/4     	4/4    	5    	1    	iv7      	         	d        	i       	     	iv7      	iv     	    	7      	       	            	       	         	mm7       	1                 	1                	-1, -4, 0, -3	           	-1  	-1
28	28	7/8     	7/8     	4/4    	5    	1    	#viio64  	         	d        	i       	     	#viio64  	#vii   	o   	64     	       	            	       	         	o         	1                 	1                	-1, 5, 2     	           	5   	-1
29	29	0       	0       	4/4    	5    	1    	V\\      	         	d        	i       	     	V        	V      	    	       	       	            	       	\\       	M         	1                 	1                	1, 5, 2      	           	1   	1
29	29	3/4     	3/4     	4/4    	5    	1    	V        	         	d        	i       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
30	30	3/4     	3/4     	4/4    	5    	1    	IV(+2)   	         	d        	i       	     	IV(+2)   	IV     	    	       	+2     	            	       	         	M         	1                 	1                	-1, 3, 0     	1          	-1  	-1
31	31	0       	0       	4/4    	5    	1    	III      	         	d        	i       	     	III      	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2    	           	-3  	-3
31	31	1/4     	1/4     	4/4    	5    	1    	V43      	         	d        	i       	     	V43      	V      	    	43     	       	            	       	         	Mm7       	1                 	1                	2, -1, 1, 5  	           	1   	2
31	31	1/2     	1/2     	4/4    	5    	1    	i        	         	d        	i       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
31	31	3/4     	3/4     	4/4    	5    	1    	V7/iv    	         	d        	i       	     	V7/iv    	V      	    	7      	       	iv          	       	         	Mm7       	1                 	1                	0, 4, 1, -2  	           	0   	0
32	32	0       	0       	4/4    	5    	1    	iv       	         	d        	i       	     	iv       	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0    	           	-1  	-1
32	32	3/4     	3/4     	4/4    	5    	1    	iv7      	         	d        	i       	     	iv7      	iv     	    	7      	       	            	       	         	mm7       	1                 	1                	-1, -4, 0, -3	           	-1  	-1
33	33	0       	0       	4/4    	5    	1    	V7       	         	d        	i       	     	V7       	V      	    	7      	       	            	       	         	Mm7       	1                 	1                	1, 5, 2, -1  	           	1   	1
33	33	1/4     	1/4     	4/4    	5    	1    	V(+64)   	         	d        	i       	     	V(+64)   	V      	    	       	+64    	            	       	         	M         	1                 	1                	1, 0, 2      	-3         	1   	1
33	33	1/2     	1/2     	4/4    	5    	1    	V(4)     	         	d        	i       	     	V(4)     	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2      	           	1   	1
33	33	3/4     	3/4     	4/4    	5    	1    	V        	         	d        	i       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
34	34	0       	0       	4/4    	5    	1    	I\\      	         	d        	i       	     	I        	I      	    	       	       	            	       	\\       	M         	1                 	1                	0, 4, 1      	           	0   	0
