mc	mn	mc_onset	mn_onset	timesig	staff	voice	label    	alt_label	globalkey	localkey	pedal	chord  	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones  	added_tones	root	bass_note
46	46	0       	0       	4/4    	5    	1    	I6       	         	g        	IV      	     	I6     	I      	    	6      	       	            	       	         	M         	1                 	0                	4, 1, 0      	           	0   	4
46	46	1/4     	1/4     	4/4    	5    	1    	ii6(2)   	         	g        	IV      	     	ii6(2) 	ii     	    	6      	2      	            	       	         	m         	1                 	0                	-1, 3, 4     	           	2   	-1
46	46	3/8     	3/8     	4/4    	5    	1    	ii6      	         	g        	IV      	     	ii6    	ii     	    	6      	       	            	       	         	m         	1                 	0                	-1, 3, 2     	           	2   	-1
46	46	1/2     	1/2     	4/4    	5    	1    	V        	         	g        	IV      	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
47	47	0       	0       	4/4    	5    	1    	I        	         	g        	IV      	     	I      	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1      	           	0   	0
47	47	1/2     	1/2     	4/4    	5    	1    	v.VI     	         	g        	v       	     	VI     	VI     	    	       	       	            	       	         	M         	1                 	1                	-4, 0, -3    	           	-4  	-4
47	47	3/4     	3/4     	4/4    	5    	1    	iv       	         	g        	v       	     	iv     	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0    	           	-1  	-1
48	48	0       	0       	4/4    	5    	1    	V        	         	g        	v       	     	V      	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
48	48	1/2     	1/2     	4/4    	5    	1    	i\\      	         	g        	v       	     	i      	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1     	           	0   	0
49	49	1/4     	1/4     	4/4    	5    	1    	III.I    	         	g        	III     	     	I      	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1      	           	0   	0
49	49	3/4     	3/4     	4/4    	5    	1    	IV       	         	g        	III     	     	IV     	IV     	    	       	       	            	       	         	M         	1                 	0                	-1, 3, 0     	           	-1  	-1
50	50	1/8     	1/8     	4/4    	5    	1    	V        	         	g        	III     	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
50	50	1/4     	1/4     	4/4    	5    	1    	vi       	IV6      	g        	III     	     	vi     	vi     	    	       	       	            	       	         	m         	1                 	0                	3, 0, 4      	           	3   	3
50	50	1/2     	1/2     	4/4    	5    	1    	V        	         	g        	III     	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
51	51	1/4     	1/4     	4/4    	5    	1    	VII.ii   	         	g        	VII     	     	ii     	ii     	    	       	       	            	       	         	m         	1                 	0                	2, -1, 3     	           	2   	2
51	51	1/2     	1/2     	4/4    	5    	1    	I6       	         	g        	VII     	     	I6     	I      	    	6      	       	            	       	         	M         	1                 	0                	4, 1, 0      	           	0   	4
51	51	3/4     	3/4     	4/4    	5    	1    	ii6      	         	g        	VII     	     	ii6    	ii     	    	6      	       	            	       	         	m         	1                 	0                	-1, 3, 2     	           	2   	-1
52	52	0       	0       	4/4    	5    	1    	V        	         	g        	VII     	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
52	52	1/2     	1/2     	4/4    	5    	1    	I        	         	g        	VII     	     	I      	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1      	           	0   	0
53	53	0       	0       	4/4    	5    	1    	i.VI     	         	g        	i       	     	VI     	VI     	    	       	       	            	       	         	M         	1                 	1                	-4, 0, -3    	           	-4  	-4
53	53	1/4     	1/4     	4/4    	5    	1    	iv       	         	g        	i       	     	iv     	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0    	           	-1  	-1
53	53	1/2     	1/2     	4/4    	5    	1    	V        	         	g        	i       	     	V      	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
54	54	0       	0       	4/4    	5    	1    	i\\      	         	g        	i       	     	i      	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1     	           	0   	0
54	54	1/2     	1/2     	4/4    	5    	1    	iv.VII   	         	g        	iv      	     	VII    	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1    	           	-2  	-2
54	54	3/4     	3/4     	4/4    	5    	1    	v6       	         	g        	iv      	     	v6     	v      	    	6      	       	            	       	         	m         	1                 	1                	-2, 2, 1     	           	1   	-2
55	55	0       	0       	4/4    	5    	1    	I        	         	g        	iv      	     	I      	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1      	           	0   	0
55	55	1/4     	1/4     	4/4    	5    	1    	I6       	         	g        	iv      	     	I6     	I      	    	6      	       	            	       	         	M         	1                 	1                	4, 1, 0      	           	0   	4
55	55	1/2     	1/2     	4/4    	5    	1    	V\\      	         	g        	iv      	     	V      	V      	    	       	       	            	       	\\       	M         	1                 	1                	1, 5, 2      	           	1   	1
56	56	0       	0       	4/4    	5    	1    	V        	         	g        	iv      	     	V      	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
56	56	1/4     	1/4     	4/4    	5    	1    	v.v6     	         	g        	v       	     	v6     	v      	    	6      	       	            	       	         	m         	1                 	1                	-2, 2, 1     	           	1   	-2
56	56	1/2     	1/2     	4/4    	5    	1    	i        	         	g        	v       	     	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
56	56	3/4     	3/4     	4/4    	5    	1    	I6       	         	g        	v       	     	I6     	I      	    	6      	       	            	       	         	M         	1                 	1                	4, 1, 0      	           	0   	4
57	57	0       	0       	4/4    	5    	1    	V\\      	         	g        	v       	     	V      	V      	    	       	       	            	       	\\       	M         	1                 	1                	1, 5, 2      	           	1   	1
57	57	1/2     	1/2     	4/4    	5    	1    	VII.vi   	         	g        	VII     	     	vi     	vi     	    	       	       	            	       	         	m         	1                 	0                	3, 0, 4      	           	3   	3
58	58	1/4     	1/4     	4/4    	5    	1    	IV6      	         	g        	VII     	     	IV6    	IV     	    	6      	       	            	       	         	M         	1                 	0                	3, 0, -1     	           	-1  	3
58	58	3/8     	3/8     	4/4    	5    	1    	V        	         	g        	VII     	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
58	58	1/2     	1/2     	4/4    	5    	1    	IV       	         	g        	VII     	     	IV     	IV     	    	       	       	            	       	         	M         	1                 	0                	-1, 3, 0     	           	-1  	-1
58	58	3/4     	3/4     	4/4    	5    	1    	I6       	         	g        	VII     	     	I6     	I      	    	6      	       	            	       	         	M         	1                 	0                	4, 1, 0      	           	0   	4
59	59	0       	0       	4/4    	5    	1    	V        	         	g        	VII     	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
59	59	1/2     	1/2     	4/4    	5    	1    	I\\      	         	g        	VII     	     	I      	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1      	           	0   	0
59	59	3/4     	3/4     	4/4    	5    	1    	I6       	         	g        	VII     	     	I6     	I      	    	6      	       	            	       	         	M         	1                 	0                	4, 1, 0      	           	0   	4
60	60	0       	0       	4/4    	5    	1    	IV.I     	         	g        	IV      	     	I      	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1      	           	0   	0
61	61	0       	0       	4/4    	5    	1    	I6       	         	g        	IV      	     	I6     	I      	    	6      	       	            	       	         	M         	1                 	0                	4, 1, 0      	           	0   	4
61	61	1/4     	1/4     	4/4    	5    	1    	ii65     	         	g        	IV      	     	ii65   	ii     	    	65     	       	            	       	         	mm7       	1                 	0                	-1, 3, 0, 2  	           	2   	-1
61	61	1/2     	1/2     	4/4    	5    	1    	V        	         	g        	IV      	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
62	62	0       	0       	4/4    	5    	1    	I\\      	         	g        	IV      	     	I      	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1      	           	0   	0
62	62	1/8     	1/8     	4/4    	5    	1    	I        	         	g        	IV      	     	I      	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1      	           	0   	0
62	62	1/2     	1/2     	4/4    	5    	1    	v.III6   	         	g        	v       	     	III6   	III    	    	6      	       	            	       	         	M         	1                 	1                	1, -2, -3    	           	-3  	1
62	62	3/4     	3/4     	4/4    	5    	1    	VIM7     	         	g        	v       	     	VIM7   	VI     	M   	7      	       	            	       	         	MM7       	1                 	1                	-4, 0, -3, 1 	           	-4  	-4
63	63	0       	0       	4/4    	5    	1    	i        	         	g        	v       	     	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
63	63	1/4     	1/4     	4/4    	5    	1    	iv       	         	g        	v       	     	iv     	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0    	           	-1  	-1
63	63	1/2     	1/2     	4/4    	5    	1    	V(4)     	         	g        	v       	     	V(4)   	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2      	           	1   	1
63	63	3/4     	3/4     	4/4    	5    	1    	V        	         	g        	v       	     	V      	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
64	64	0       	0       	4/4    	5    	1    	I\\      	         	g        	v       	     	I      	I      	    	       	       	            	       	\\       	M         	1                 	1                	0, 4, 1      	           	0   	0
65	65	0       	0       	4/4    	5    	1    	i        	         	g        	v       	     	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
66	66	1/2     	1/2     	4/4    	5    	1    	V6       	         	g        	v       	     	V6     	V      	    	6      	       	            	       	         	M         	1                 	1                	5, 2, 1      	           	1   	5
66	66	3/4     	3/4     	4/4    	5    	1    	I        	         	g        	v       	     	I      	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1      	           	0   	0
67	67	0       	0       	4/4    	5    	1    	iv       	         	g        	v       	     	iv     	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0    	           	-1  	-1
67	67	1/2     	1/2     	4/4    	5    	1    	I\\      	         	g        	v       	     	I      	I      	    	       	       	            	       	\\       	M         	1                 	1                	0, 4, 1      	           	0   	0
68	68	0       	0       	4/4    	5    	1    	i.i      	         	g        	i       	     	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
69	69	1/2     	1/2     	4/4    	5    	1    	V6       	         	g        	i       	     	V6     	V      	    	6      	       	            	       	         	M         	1                 	1                	5, 2, 1      	           	1   	5
69	69	3/4     	3/4     	4/4    	5    	1    	I        	         	g        	i       	     	I      	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1      	           	0   	0
70	70	0       	0       	4/4    	5    	1    	iv       	         	g        	i       	     	iv     	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0    	           	-1  	-1
70	70	1/2     	1/2     	4/4    	5    	1    	i\\      	         	g        	i       	     	i      	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1     	           	0   	0
70	70	3/4     	3/4     	4/4    	5    	1    	i        	         	g        	i       	     	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
71	71	0       	0       	4/4    	5    	1    	IV6      	         	g        	i       	     	IV6    	IV     	    	6      	       	            	       	         	M         	1                 	1                	3, 0, -1     	           	-1  	3
71	71	1/4     	1/4     	4/4    	5    	1    	VII      	         	g        	i       	     	VII    	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1    	           	-2  	-2
71	71	1/2     	1/2     	4/4    	5    	1    	III6     	         	g        	i       	     	III6   	III    	    	6      	       	            	       	         	M         	1                 	1                	1, -2, -3    	           	-3  	1
71	71	3/4     	3/4     	4/4    	5    	1    	VI       	         	g        	i       	     	VI     	VI     	    	       	       	            	       	         	M         	1                 	1                	-4, 0, -3    	           	-4  	-4
72	72	0       	0       	4/4    	5    	1    	ii6      	         	g        	i       	     	ii6    	ii     	    	6      	       	            	       	         	m         	1                 	1                	-1, 3, 2     	           	2   	-1
72	72	1/4     	1/4     	4/4    	5    	1    	v        	         	g        	i       	     	v      	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2     	           	1   	1
72	72	1/2     	1/2     	4/4    	5    	1    	i6       	         	g        	i       	     	i6     	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0     	           	0   	-3
72	72	3/4     	3/4     	4/4    	5    	1    	IV       	         	g        	i       	     	IV     	IV     	    	       	       	            	       	         	M         	1                 	1                	-1, 3, 0     	           	-1  	-1
73	73	0       	0       	4/4    	5    	1    	VIIM65   	         	g        	i       	     	VIIM65 	VII    	M   	65     	       	            	       	         	MM7       	1                 	1                	2, -1, 3, -2 	           	-2  	2
73	73	1/4     	1/4     	4/4    	5    	1    	III      	         	g        	i       	     	III    	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2    	           	-3  	-3
73	73	1/2     	1/2     	4/4    	5    	1    	i        	         	g        	i       	     	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
74	74	0       	0       	4/4    	5    	1    	V(4)     	         	g        	i       	     	V(4)   	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2      	           	1   	1
74	74	1/4     	1/4     	4/4    	5    	1    	V        	         	g        	i       	     	V      	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
74	74	1/2     	1/2     	4/4    	5    	1    	i\\      	         	g        	i       	     	i      	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1     	           	0   	0
74	74	3/4     	3/4     	4/4    	5    	1    	i        	         	g        	i       	     	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
75	75	0       	0       	4/4    	5    	1    	v.i      	         	g        	v       	     	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
75	75	1/2     	1/2     	4/4    	5    	1    	VII      	         	g        	v       	     	VII    	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1    	           	-2  	-2
76	76	0       	0       	4/4    	5    	1    	VI       	         	g        	v       	     	VI     	VI     	    	       	       	            	       	         	M         	1                 	1                	-4, 0, -3    	           	-4  	-4
76	76	1/2     	1/2     	4/4    	5    	1    	v        	         	g        	v       	     	v      	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2     	           	1   	1
77	77	0       	0       	4/4    	5    	1    	iv       	         	g        	v       	     	iv     	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0    	           	-1  	-1
77	77	1/2     	1/2     	4/4    	5    	1    	III      	         	g        	v       	     	III    	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2    	           	-3  	-3
