mc	mn	mc_onset	mn_onset	timesig	staff	voice	label      	alt_label	globalkey	localkey	pedal	chord  	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones 	added_tones	root	bass_note
17	17	1/2     	1/2     	4/4    	5    	1    	V          	         	d        	VI      	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2     	           	1   	1
18	18	0       	0       	4/4    	5    	1    	VII.vi     	         	d        	VII     	     	vi     	vi     	    	       	       	            	       	         	m         	1                 	0                	3, 0, 4     	           	3   	3
18	18	1/2     	1/2     	4/4    	5    	1    	V(b6)      	         	d        	VII     	     	V(b6)  	V      	    	       	b6     	            	       	         	M         	1                 	0                	1, 5, -3    	           	1   	1
18	18	3/4     	3/4     	4/4    	5    	1    	V(b64)     	         	d        	VII     	     	V(b64) 	V      	    	       	b64    	            	       	         	M         	1                 	0                	1, 0, -3    	           	1   	1
19	19	0       	0       	4/4    	5    	1    	V(4)       	         	d        	VII     	     	V(4)   	V      	    	       	4      	            	       	         	M         	1                 	0                	1, 0, 2     	           	1   	1
19	19	1/4     	1/4     	4/4    	5    	1    	V          	         	d        	VII     	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2     	           	1   	1
19	19	1/2     	1/2     	4/4    	5    	1    	I\\        	         	d        	VII     	     	I      	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1     	           	0   	0
20	20	0       	0       	4/4    	5    	1    	iv.i       	         	d        	iv      	     	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1    	           	0   	0
20	20	1/2     	1/2     	4/4    	5    	1    	V          	         	d        	iv      	     	V      	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2     	           	1   	1
20	20	3/4     	3/4     	4/4    	5    	1    	V(64)      	         	d        	iv      	     	V(64)  	V      	    	       	64     	            	       	         	M         	1                 	1                	1, 0, -3    	           	1   	1
21	21	0       	0       	4/4    	5    	1    	V          	         	d        	iv      	     	V      	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2     	           	1   	1
21	21	1/2     	1/2     	4/4    	5    	1    	i\\        	         	d        	iv      	     	i      	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1    	           	0   	0
22	22	1/4     	1/4     	4/4    	5    	1    	III.vi     	         	d        	III     	     	vi     	vi     	    	       	       	            	       	         	m         	1                 	0                	3, 0, 4     	           	3   	3
23	23	0       	0       	4/4    	5    	1    	IV         	         	d        	III     	     	IV     	IV     	    	       	       	            	       	         	M         	1                 	0                	-1, 3, 0    	           	-1  	-1
23	23	1/4     	1/4     	4/4    	5    	1    	ii         	         	d        	III     	     	ii     	ii     	    	       	       	            	       	         	m         	1                 	0                	2, -1, 3    	           	2   	2
23	23	1/2     	1/2     	4/4    	5    	1    	I          	         	d        	III     	     	I      	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1     	           	0   	0
24	24	0       	0       	4/4    	5    	1    	I6         	         	d        	III     	     	I6     	I      	    	6      	       	            	       	         	M         	1                 	0                	4, 1, 0     	           	0   	4
24	24	1/4     	1/4     	4/4    	5    	1    	ii6        	         	d        	III     	     	ii6    	ii     	    	6      	       	            	       	         	m         	1                 	0                	-1, 3, 2    	           	2   	-1
24	24	1/2     	1/2     	4/4    	5    	1    	V          	         	d        	III     	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2     	           	1   	1
25	25	0       	0       	4/4    	5    	1    	I\\        	         	d        	III     	     	I      	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1     	           	0   	0
25	25	1/2     	1/2     	4/4    	5    	1    	I          	         	d        	III     	     	I      	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1     	           	0   	0
26	26	1/2     	1/2     	4/4    	5    	1    	V          	         	d        	III     	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2     	           	1   	1
27	27	0       	0       	4/4    	5    	1    	iv.VI      	iv6      	d        	iv      	     	VI     	VI     	    	       	       	            	       	         	M         	1                 	1                	-4, 0, -3   	           	-4  	-4
27	27	1/2     	1/2     	4/4    	5    	1    	V(4)       	         	d        	iv      	     	V(4)   	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2     	           	1   	1
27	27	3/4     	3/4     	4/4    	5    	1    	V          	         	d        	iv      	     	V      	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2     	           	1   	1
28	28	0       	0       	4/4    	5    	1    	i\\        	         	d        	iv      	     	i      	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1    	           	0   	0
28	28	1/2     	1/2     	4/4    	5    	1    	i.i        	         	d        	i       	     	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1    	           	0   	0
29	29	0       	0       	4/4    	5    	1    	V          	         	d        	i       	     	V      	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2     	           	1   	1
29	29	1/2     	1/2     	4/4    	5    	1    	V(4)       	         	d        	i       	     	V(4)   	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2     	           	1   	1
30	30	1/2     	1/2     	4/4    	5    	1    	V          	         	d        	i       	     	V      	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2     	           	1   	1
31	31	0       	0       	4/4    	5    	1    	i\\        	         	d        	i       	     	i      	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1    	           	0   	0
31	31	1/4     	1/4     	4/4    	5    	1    	i          	         	d        	i       	     	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1    	           	0   	0
32	32	0       	0       	4/4    	5    	1    	III.I      	         	d        	III     	     	I      	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1     	           	0   	0
