mc	mn	mc_onset	mn_onset	timesig	staff	voice	label    	alt_label	globalkey	localkey	pedal	chord    	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones 	added_tones	root	bass_note
38	38	1/4     	1/4     	4/4    	5    	1    	V64      	         	G        	IV      	I    	V64      	V      	    	64     	       	            	       	         	M         	0                 	0                	2, 1, 5     	           	1   	2
38	38	1/2     	1/2     	4/4    	5    	1    	I]       	         	G        	IV      	I    	I        	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1     	           	0   	0
39	39	0       	0       	4/4    	5    	1    	V\\      	         	G        	IV      	     	V        	V      	    	       	       	            	       	\\       	M         	0                 	0                	1, 5, 2     	           	1   	1
39	39	1/2     	1/2     	4/4    	5    	1    	I.I      	         	G        	I       	     	I        	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1     	           	0   	0
39	39	3/4     	3/4     	4/4    	5    	1    	IV6      	         	G        	I       	     	IV6      	IV     	    	6      	       	            	       	         	M         	0                 	0                	3, 0, -1    	           	-1  	3
40	40	0       	0       	4/4    	5    	1    	V6       	         	G        	I       	     	V6       	V      	    	6      	       	            	       	         	M         	0                 	0                	5, 2, 1     	           	1   	5
40	40	1/2     	1/2     	4/4    	5    	1    	I\\      	         	G        	I       	     	I        	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1     	           	0   	0
40	40	3/4     	3/4     	4/4    	5    	1    	IV.V     	         	G        	IV      	     	V        	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2     	           	1   	1
41	41	0       	0       	4/4    	5    	1    	I        	         	G        	IV      	     	I        	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1     	           	0   	0
41	41	1/4     	1/4     	4/4    	5    	1    	IV6      	         	G        	IV      	     	IV6      	IV     	    	6      	       	            	       	         	M         	0                 	0                	3, 0, -1    	           	-1  	3
41	41	1/2     	1/2     	4/4    	5    	1    	V7       	         	G        	IV      	     	V7       	V      	    	7      	       	            	       	         	Mm7       	0                 	0                	1, 5, 2, -1 	           	1   	1
42	42	0       	0       	4/4    	5    	1    	I\\      	         	G        	IV      	     	I        	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1     	           	0   	0
42	42	5/8     	5/8     	4/4    	5    	1    	I        	         	G        	IV      	     	I        	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1     	           	0   	0
42	42	3/4     	3/4     	4/4    	5    	1    	I6       	         	G        	IV      	     	I6       	I      	    	6      	       	            	       	         	M         	0                 	0                	4, 1, 0     	           	0   	4
43	43	0       	0       	4/4    	5    	1    	V        	         	G        	IV      	     	V        	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2     	           	1   	1
43	43	1/4     	1/4     	4/4    	5    	1    	I.IV     	         	G        	I       	     	IV       	IV     	    	       	       	            	       	         	M         	0                 	0                	-1, 3, 0    	           	-1  	-1
43	43	1/2     	1/2     	4/4    	5    	1    	V        	         	G        	I       	     	V        	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2     	           	1   	1
43	43	3/4     	3/4     	4/4    	5    	1    	I\\      	         	G        	I       	     	I        	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1     	           	0   	0
