mc	mn	mc_onset	mn_onset	timesig	staff	voice	label     	alt_label	globalkey	localkey	pedal	chord     	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
33	33	7/8     	7/8     	4/4    	5    	1    	V         	         	d        	v       	     	V         	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2    	           	1   	1
34	34	0       	0       	4/4    	5    	1    	i\\       	         	d        	v       	     	i         	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1   	           	0   	0
34	34	3/4     	3/4     	4/4    	5    	1    	III.V     	         	d        	III     	     	V         	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2    	           	1   	1
36	36	0       	0       	4/4    	5    	1    	I\\       	         	d        	III     	     	I         	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1    	           	0   	0
36	36	3/4     	3/4     	4/4    	5    	1    	i.VI      	iv6      	d        	i       	     	VI        	VI     	    	       	       	            	       	         	M         	1                 	1                	-4, 0, -3  	           	-4  	-4
37	37	3/4     	3/4     	4/4    	5    	1    	v         	III6     	d        	i       	     	v         	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2   	           	1   	1
38	38	0       	0       	4/4    	5    	1    	iv        	         	d        	i       	     	iv        	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0  	           	-1  	-1
39	39	1/4     	1/4     	4/4    	5    	1    	I         	         	d        	i       	     	I         	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1    	           	0   	0
39	39	1/2     	1/2     	4/4    	5    	1    	iv        	         	d        	i       	     	iv        	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0  	           	-1  	-1
40	40	0       	0       	4/4    	5    	1    	I\\       	         	d        	i       	     	I         	I      	    	       	       	            	       	\\       	M         	1                 	1                	0, 4, 1    	           	0   	0
40	40	1/2     	1/2     	4/4    	5    	1    	i         	         	d        	i       	     	i         	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
42	42	0       	0       	4/4    	5    	1    	V         	         	d        	i       	     	V         	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2    	           	1   	1
42	42	1/4     	1/4     	4/4    	5    	1    	V(64)     	         	d        	i       	     	V(64)     	V      	    	       	64     	            	       	         	M         	1                 	1                	1, 0, -3   	           	1   	1
42	42	1/2     	1/2     	4/4    	5    	1    	V(4)      	         	d        	i       	     	V(4)      	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2    	           	1   	1
42	42	3/4     	3/4     	4/4    	5    	1    	V         	         	d        	i       	     	V         	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2    	           	1   	1
43	43	0       	0       	4/4    	5    	1    	I\\       	         	d        	i       	     	I         	I      	    	       	       	            	       	\\       	M         	1                 	1                	0, 4, 1    	           	0   	0
43	43	1/2     	1/2     	4/4    	5    	1    	IV.V      	         	d        	IV      	     	V         	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2    	           	1   	1
44	44	0       	0       	4/4    	5    	1    	I         	         	d        	IV      	     	I         	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1    	           	0   	0
44	44	1/2     	1/2     	4/4    	5    	1    	I6        	         	d        	IV      	     	I6        	I      	    	6      	       	            	       	         	M         	1                 	0                	4, 1, 0    	           	0   	4
45	45	0       	0       	4/4    	5    	1    	V         	         	d        	IV      	     	V         	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2    	           	1   	1
45	45	1/4     	1/4     	4/4    	5    	1    	V(64)     	         	d        	IV      	     	V(64)     	V      	    	       	64     	            	       	         	M         	1                 	0                	1, 0, 4    	           	1   	1
45	45	1/2     	1/2     	4/4    	5    	1    	V(4)      	         	d        	IV      	     	V(4)      	V      	    	       	4      	            	       	         	M         	1                 	0                	1, 0, 2    	           	1   	1
45	45	3/4     	3/4     	4/4    	5    	1    	V7        	         	d        	IV      	     	V7        	V      	    	7      	       	            	       	         	Mm7       	1                 	0                	1, 5, 2, -1	           	1   	1
46	46	0       	0       	4/4    	5    	1    	I\\       	         	d        	IV      	     	I         	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1    	           	0   	0
46	46	1/2     	1/2     	4/4    	5    	1    	v.VII     	         	d        	v       	     	VII       	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1  	           	-2  	-2
47	47	0       	0       	4/4    	5    	1    	v         	         	d        	v       	     	v         	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2   	           	1   	1
47	47	1/2     	1/2     	4/4    	5    	1    	III       	         	d        	v       	     	III       	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2  	           	-3  	-3
48	48	0       	0       	4/4    	5    	1    	i         	         	d        	v       	     	i         	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
48	48	1/2     	1/2     	4/4    	5    	1    	i6        	         	d        	v       	     	i6        	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0   	           	0   	-3
49	49	0       	0       	4/4    	5    	1    	V         	         	d        	v       	     	V         	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2    	           	1   	1
49	49	1/2     	1/2     	4/4    	5    	1    	i\\       	         	d        	v       	     	i         	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1   	           	0   	0
50	50	0       	0       	4/4    	5    	1    	i.v       	         	d        	i       	     	v         	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2   	           	1   	1
50	50	1/4     	1/4     	4/4    	5    	1    	IV        	         	d        	i       	     	IV        	IV     	    	       	       	            	       	         	M         	1                 	1                	-1, 3, 0   	           	-1  	-1
50	50	1/2     	1/2     	4/4    	5    	1    	III       	         	d        	i       	     	III       	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2  	           	-3  	-3
51	51	0       	0       	4/4    	5    	1    	i         	         	d        	i       	     	i         	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
52	52	0       	0       	4/4    	5    	1    	V(64)     	         	d        	i       	     	V(64)     	V      	    	       	64     	            	       	         	M         	1                 	1                	1, 0, -3   	           	1   	1
52	52	1/4     	1/4     	4/4    	5    	1    	V         	         	d        	i       	     	V         	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2    	           	1   	1
52	52	3/4     	3/4     	4/4    	5    	1    	V7        	         	d        	i       	     	V7        	V      	    	7      	       	            	       	         	Mm7       	1                 	1                	1, 5, 2, -1	           	1   	1
53	53	0       	0       	4/4    	5    	1    	i\\       	         	d        	i       	     	i         	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1   	           	0   	0
53	53	1/2     	1/2     	4/4    	5    	1    	i         	         	d        	i       	     	i         	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
54	54	0       	0       	4/4    	5    	1    	iv6       	         	d        	i       	     	iv6       	iv     	    	6      	       	            	       	         	m         	1                 	1                	-4, 0, -1  	           	-1  	-4
54	54	1/2     	1/2     	4/4    	5    	1    	iv        	         	d        	i       	     	iv        	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0  	           	-1  	-1
57	57	0       	0       	4/4    	5    	1    	I\\       	         	d        	i       	     	I         	I      	    	       	       	            	       	\\       	M         	1                 	1                	0, 4, 1    	           	0   	0
