mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
49	49	3/4	3/4	4/4	1	2	1/4	1/4	1	1	7	61		581
49	49	7/8	7/8	4/4	2	1	1/8	1/8	1		4	40		587
50	50	0	0	4/4	2	1	1/8	1/8	1		9	39		592
50	50	0	0	4/4	1	1	1/4	1/4	1	-1	7	61		588
50	50	0	0	4/4	1	1	1/4	1/4	1	-1	6	66		588
50	50	0	0	4/4	1	1	1/4	1/4	1	-1	10	70		588
50	50	1/8	1/8	4/4	2	1	1/8	1/8	1		5	47		593
50	50	1/4	1/4	4/4	2	1	1/8	1/8	1		9	51		594
50	50	1/4	1/4	4/4	1	1	1/4	1/4	1		5	59		589
50	50	1/4	1/4	4/4	1	1	1/4	1/4	1		6	66		589
50	50	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71		589
50	50	3/8	3/8	4/4	2	1	1/8	1/8	1		6	54		595
50	50	1/2	1/2	4/4	2	1	1/8	1/8	1		5	59		596
50	50	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66		590
50	50	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71		590
50	50	1/2	1/2	4/4	1	1	1/4	1/4	1		9	75		590
50	50	5/8	5/8	4/4	2	1	1/8	1/8	1		9	63		597
50	50	3/4	3/4	4/4	2	1	1/8	1/8	1		6	66		598
50	50	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71		591
50	50	3/4	3/4	4/4	1	1	1/4	1/4	1		9	75		591
50	50	3/4	3/4	4/4	1	1	1/4	1/4	1		6	78		591
50	50	7/8	7/8	4/4	2	1	1/8	1/8	1		5	71		599
51	51	0	0	4/4	1	2	1/4	1/4	1		9	75		601
51	51	0	0	4/4	1	1	1	1	1	1	4	76		600
51	51	0	0	4/4	1	1	1	1	1	1	8	80		600
51	51	1/8	1/8	4/4	2	1	1/8	1/8	1		7	61		605
51	51	1/4	1/4	4/4	2	1	1/8	1/8	1		4	64		606
51	51	1/4	1/4	4/4	1	2	1/4	1/4	1		7	73		602
51	51	3/8	3/8	4/4	2	1	1/8	1/8	1		8	68		607
51	51	1/2	1/2	4/4	1	2	1/4	1/4	1		9	75		603
51	51	5/8	5/8	4/4	2	1	1/8	1/8	1		5	59		608
51	51	3/4	3/4	4/4	2	1	1/8	1/8	1		4	64		609
51	51	3/4	3/4	4/4	1	2	1/4	1/4	1		7	73		604
51	51	7/8	7/8	4/4	2	1	1/8	1/8	1		8	68		610
52	52	0	0	4/4	1	2	1/4	1/4	1		9	75		615
52	52	0	0	4/4	1	1	1/2	1/2	1	-1	4	76		611
52	52	0	0	4/4	1	1	1/2	1/2	1	-1	8	80		611
52	52	1/8	1/8	4/4	2	1	1/8	1/8	1		10	58		618
52	52	1/4	1/4	4/4	2	1	1/8	1/8	1		4	64		619
52	52	1/4	1/4	4/4	1	2	1/4	1/4	1		7	73		616
52	52	3/8	3/8	4/4	2	1	1/8	1/8	1		8	68		620
52	52	1/2	1/2	4/4	1	2	1/2	1/2	1		4	76		617
52	52	1/2	1/2	4/4	1	2	1/2	1/2	1		8	80		617
52	52	1/2	1/2	4/4	1	1	1/6	1/4	2/3		5	83		612
52	52	5/8	5/8	4/4	2	1	1/8	1/8	1		8	56		621
52	52	2/3	2/3	4/4	1	1	1/6	1/4	2/3		9	87		613
52	52	3/4	3/4	4/4	2	1	1/8	1/8	1		4	64		622
52	52	5/6	5/6	4/4	1	1	1/6	1/4	2/3		5	83		614
52	52	7/8	7/8	4/4	2	1	1/8	1/8	1		5	71		623
53	53	0	0	4/4	1	2	1/4	1/4	1		9	75		625
53	53	0	0	4/4	1	1	1	1	1	1	4	76		624
53	53	0	0	4/4	1	1	1	1	1	1	8	80		624
53	53	1/8	1/8	4/4	2	1	1/8	1/8	1		7	61		629
53	53	1/4	1/4	4/4	2	1	1/8	1/8	1		4	64		630
53	53	1/4	1/4	4/4	1	2	1/4	1/4	1		7	73		626
53	53	3/8	3/8	4/4	2	1	1/8	1/8	1		8	68		631
53	53	1/2	1/2	4/4	1	2	1/4	1/4	1		9	75		627
53	53	5/8	5/8	4/4	2	1	1/8	1/8	1		5	59		632
53	53	3/4	3/4	4/4	2	1	1/8	1/8	1		4	64		633
53	53	3/4	3/4	4/4	1	2	1/4	1/4	1		7	73		628
53	53	7/8	7/8	4/4	2	1	1/8	1/8	1		8	68		634
54	54	0	0	4/4	1	1	1/4	1/4	1		9	75		635
54	54	0	0	4/4	1	1	1/4	1/4	1	-1	4	76		635
54	54	0	0	4/4	1	1	1/4	1/4	1	-1	8	80		635
54	54	1/8	1/8	4/4	2	1	1/8	1/8	1		10	58		639
54	54	1/4	1/4	4/4	2	1	1/8	1/8	1		4	64		640
54	54	1/4	1/4	4/4	1	1	1/4	1/4	1		4	76		636
54	54	1/4	1/4	4/4	1	1	1/4	1/4	1		8	80		636
54	54	1/4	1/4	4/4	1	1	1/4	1/4	1		7	85		636
54	54	3/8	3/8	4/4	2	1	1/8	1/8	1		8	68		641
54	54	1/2	1/2	4/4	1	1	1/4	1/4	1		7	73		637
54	54	1/2	1/2	4/4	1	1	1/4	1/4	1		6	78		637
54	54	1/2	1/2	4/4	1	1	1/4	1/4	1		10	82		637
54	54	5/8	5/8	4/4	2	1	1/8	1/8	1		6	54		642
54	54	3/4	3/4	4/4	2	1	1/8	1/8	1		7	61		643
54	54	3/4	3/4	4/4	1	1	1/4	1/4	1		10	70		638
54	54	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76		638
54	54	3/4	3/4	4/4	1	1	1/4	1/4	1		8	80		638
54	54	7/8	7/8	4/4	2	1	1/8	1/8	1		6	66		644
55	55	0	0	4/4	1	2	1/4	1/4	1		7	73		646
55	55	0	0	4/4	1	1	1	1	1	1	2	74		645
55	55	0	0	4/4	1	1	1	1	1	1	6	78		645
55	55	1/8	1/8	4/4	2	1	1/8	1/8	1		5	59		650
55	55	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62		651
55	55	1/4	1/4	4/4	1	2	1/4	1/4	1		5	71		647
55	55	3/8	3/8	4/4	2	1	1/8	1/8	1		6	66		652
55	55	1/2	1/2	4/4	1	2	1/4	1/4	1		7	73		648
55	55	5/8	5/8	4/4	2	1	1/8	1/8	1		3	57		653
55	55	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62		654
55	55	3/4	3/4	4/4	1	2	1/4	1/4	1		5	71		649
55	55	7/8	7/8	4/4	2	1	1/8	1/8	1		6	66		655
56	56	0	0	4/4	1	2	1/4	1/4	1		7	73		660
56	56	0	0	4/4	1	1	1/2	1/2	1	-1	2	74		656
56	56	0	0	4/4	1	1	1/2	1/2	1	-1	6	78		656
56	56	1/8	1/8	4/4	2	1	1/8	1/8	1		8	56		663
56	56	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62		664
56	56	1/4	1/4	4/4	1	2	1/4	1/4	1		5	71		661
56	56	3/8	3/8	4/4	2	1	1/8	1/8	1		6	66		665
56	56	1/2	1/2	4/4	1	2	1/2	1/2	1		2	74		662
56	56	1/2	1/2	4/4	1	2	1/2	1/2	1		6	78		662
56	56	1/2	1/2	4/4	1	1	1/6	1/4	2/3		3	81		657
56	56	5/8	5/8	4/4	2	1	1/8	1/8	1		6	54		666
56	56	2/3	2/3	4/4	1	1	1/6	1/4	2/3		7	85		658
56	56	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62		667
56	56	5/6	5/6	4/4	1	1	1/6	1/4	2/3		3	81		659
56	56	7/8	7/8	4/4	2	1	1/8	1/8	1		3	69		668
57	57	0	0	4/4	1	2	1/4	1/4	1		7	73		670
57	57	0	0	4/4	1	1	1	1	1	1	2	74		669
57	57	0	0	4/4	1	1	1	1	1	1	6	78		669
57	57	1/8	1/8	4/4	2	1	1/8	1/8	1		5	59		674
57	57	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62		675
57	57	1/4	1/4	4/4	1	2	1/4	1/4	1		5	71		671
57	57	3/8	3/8	4/4	2	1	1/8	1/8	1		6	66		676
57	57	1/2	1/2	4/4	1	2	1/4	1/4	1		7	73		672
57	57	5/8	5/8	4/4	2	1	1/8	1/8	1		3	57		677
57	57	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62		678
57	57	3/4	3/4	4/4	1	2	1/4	1/4	1		5	71		673
57	57	7/8	7/8	4/4	2	1	1/8	1/8	1		6	66		679
58	58	0	0	4/4	1	1	1/4	1/4	1		7	73		680
58	58	0	0	4/4	1	1	1/4	1/4	1	-1	2	74		680
58	58	0	0	4/4	1	1	1/4	1/4	1	-1	6	78		680
58	58	1/8	1/8	4/4	2	1	1/8	1/8	1		8	56		684
58	58	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62		685
58	58	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74		681
58	58	1/4	1/4	4/4	1	1	1/4	1/4	1		6	78		681
58	58	1/4	1/4	4/4	1	1	1/4	1/4	1		5	83		681
58	58	3/8	3/8	4/4	2	1	1/8	1/8	1		6	66		686
58	58	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71		682
58	58	1/2	1/2	4/4	1	1	1/4	1/4	1		4	76		682
58	58	1/2	1/2	4/4	1	1	1/4	1/4	1		8	80		682
58	58	5/8	5/8	4/4	2	1	1/8	1/8	1		4	52		687
58	58	3/4	3/4	4/4	2	1	1/8	1/8	1		5	59		688
58	58	3/4	3/4	4/4	1	1	1/4	1/4	1		8	68		683
58	58	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74		683
58	58	3/4	3/4	4/4	1	1	1/4	1/4	1		6	78		683
58	58	7/8	7/8	4/4	2	1	1/8	1/8	1		4	52		689
59	59	0	0	4/4	2	1	1/8	1/8	1		3	45		695
59	59	0	0	4/4	1	1	1/4	1/4	1		3	69		690
59	59	0	0	4/4	1	1	1/4	1/4	1		7	73		690
59	59	0	0	4/4	1	1	1/4	1/4	1		4	76		690
59	59	1/8	1/8	4/4	2	1	1/8	1/8	1		4	52		696
59	59	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57		697
59	59	1/4	1/4	4/4	1	1	1/8	1/8	1		4	64		691
59	59	1/4	1/4	4/4	1	1	1/8	1/8	1		3	69		691
59	59	1/4	1/4	4/4	1	1	1/8	1/8	1		7	73		691
59	59	3/8	3/8	4/4	2	1	1/8	1/8	1		7	61		698
59	59	3/8	3/8	4/4	1	1	1/8	1/8	1		4	64		692
59	59	3/8	3/8	4/4	1	1	1/8	1/8	1		3	69		692
59	59	3/8	3/8	4/4	1	1	1/8	1/8	1		7	73		692
59	59	1/2	1/2	4/4	2	1	1/8	1/8	1		7	61		699
59	59	1/2	1/2	4/4	1	1	1/4	1/4	1		4	64		693
59	59	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69		693
59	59	1/2	1/2	4/4	1	1	1/4	1/4	1		7	73		693
59	59	5/8	5/8	4/4	2	1	1/8	1/8	1		3	57		700
59	59	3/4	3/4	4/4	2	1	1/8	1/8	1		4	52		701
59	59	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69		694
59	59	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73		694
59	59	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76		694
59	59	7/8	7/8	4/4	2	1	1/8	1/8	1		3	45		702
60	60	0	0	4/4	2	1	1/8	1/8	1		6	42		709
60	60	0	0	4/4	1	1	1/4	1/4	1		3	69		703
60	60	0	0	4/4	1	1	1/4	1/4	1		7	73		703
60	60	0	0	4/4	1	1	1/4	1/4	1		6	78		703
60	60	1/8	1/8	4/4	2	1	1/8	1/8	1		7	49		710
60	60	1/4	1/4	4/4	2	1	1/8	1/8	1		6	54		711
60	60	1/4	1/4	4/4	1	1	1/8	1/8	1		3	69		704
60	60	1/4	1/4	4/4	1	1	1/8	1/8	1		7	73		704
60	60	1/4	1/4	4/4	1	1	1/8	1/8	1		6	78		704
60	60	3/8	3/8	4/4	2	1	1/8	1/8	1		7	61		712
60	60	3/8	3/8	4/4	1	1	1/8	1/8	1		5	71		705
60	60	3/8	3/8	4/4	1	1	1/8	1/8	1		7	73		705
60	60	3/8	3/8	4/4	1	1	1/8	1/8	1		8	80		705
60	60	1/2	1/2	4/4	2	1	1/8	1/8	1		7	61		713
60	60	1/2	1/2	4/4	1	1	1/8	1/8	1		3	69		706
60	60	1/2	1/2	4/4	1	1	1/8	1/8	1		7	73		706
60	60	1/2	1/2	4/4	1	1	1/8	1/8	1		6	78		706
60	60	5/8	5/8	4/4	2	1	1/8	1/8	1		6	54		714
60	60	5/8	5/8	4/4	1	1	1/8	1/8	1		5	71		707
60	60	5/8	5/8	4/4	1	1	1/8	1/8	1		7	73		707
60	60	5/8	5/8	4/4	1	1	1/8	1/8	1		8	80		707
60	60	3/4	3/4	4/4	2	1	1/8	1/8	1		7	49		715
60	60	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69		708
60	60	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73		708
60	60	3/4	3/4	4/4	1	1	1/4	1/4	1		6	78		708
60	60	7/8	7/8	4/4	2	1	1/8	1/8	1		6	42		716
61	61	0	0	4/4	2	1	1/8	1/8	1		3	45		722
61	61	0	0	4/4	1	1	1/4	1/4	1		3	69		717
61	61	0	0	4/4	1	1	1/4	1/4	1		7	73		717
61	61	0	0	4/4	1	1	1/4	1/4	1		4	76		717
61	61	1/8	1/8	4/4	2	1	1/8	1/8	1		4	52		723
61	61	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57		724
61	61	1/4	1/4	4/4	1	1	1/8	1/8	1		8	68		718
61	61	1/4	1/4	4/4	1	1	1/8	1/8	1		3	69		718
61	61	1/4	1/4	4/4	1	1	1/8	1/8	1		7	73		718
61	61	3/8	3/8	4/4	2	1	1/8	1/8	1		7	61		725
61	61	3/8	3/8	4/4	1	1	1/8	1/8	1		8	68		719
61	61	3/8	3/8	4/4	1	1	1/8	1/8	1		3	69		719
61	61	3/8	3/8	4/4	1	1	1/8	1/8	1		7	73		719
61	61	1/2	1/2	4/4	2	1	1/8	1/8	1		7	61		726
61	61	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66		720
61	61	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69		720
61	61	1/2	1/2	4/4	1	1	1/4	1/4	1		7	73		720
61	61	5/8	5/8	4/4	2	1	1/8	1/8	1		3	57		727
61	61	3/4	3/4	4/4	2	1	1/8	1/8	1		4	52		728
61	61	3/4	3/4	4/4	1	1	1/4	1/4	1		4	64		721
61	61	3/4	3/4	4/4	1	1	1/4	1/4	1		6	66		721
61	61	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69		721
61	61	7/8	7/8	4/4	2	1	1/8	1/8	1		3	45		729
62	62	0	0	4/4	2	1	1/8	1/8	1		2	38		731
62	62	0	0	4/4	1	1	1	1	1		2	62		730
62	62	0	0	4/4	1	1	1	1	1		6	66		730
62	62	0	0	4/4	1	1	1	1	1		3	69		730
62	62	0	0	4/4	1	1	1	1	1		7	73		730
62	62	1/8	1/8	4/4	2	1	1/8	1/8	1		3	45		732
62	62	1/4	1/4	4/4	2	1	1/8	1/8	1		2	50		733
62	62	3/8	3/8	4/4	2	1	1/8	1/8	1		6	54		734
62	62	1/2	1/2	4/4	2	1	1/8	1/8	1		6	54		735
62	62	5/8	5/8	4/4	2	1	1/8	1/8	1		2	50		736
62	62	3/4	3/4	4/4	2	1	1/8	1/8	1		3	45		737
62	62	7/8	7/8	4/4	2	1	1/8	1/8	1		2	38		738
63	63	0	0	4/4	2	1	1/8	1/8	1		1	43		744
63	63	0	0	4/4	1	1	1/4	1/4	1		2	62		739
63	63	0	0	4/4	1	1	1/4	1/4	1		1	67		739
63	63	0	0	4/4	1	1	1/4	1/4	1		5	71		739
63	63	1/8	1/8	4/4	2	1	1/8	1/8	1		2	50		745
63	63	1/4	1/4	4/4	2	1	1/8	1/8	1		1	55		746
63	63	1/4	1/4	4/4	1	1	1/8	1/8	1		5	59		740
63	63	1/4	1/4	4/4	1	1	1/8	1/8	1		2	62		740
63	63	1/4	1/4	4/4	1	1	1/8	1/8	1		1	67		740
63	63	3/8	3/8	4/4	2	1	1/8	1/8	1		2	50		747
63	63	3/8	3/8	4/4	1	1	1/8	1/8	1		5	59		741
63	63	3/8	3/8	4/4	1	1	1/8	1/8	1		2	62		741
63	63	3/8	3/8	4/4	1	1	1/8	1/8	1		1	67		741
63	63	1/2	1/2	4/4	2	1	1/8	1/8	1		1	43		748
63	63	1/2	1/2	4/4	1	1	1/4	1/4	1		5	59		742
63	63	1/2	1/2	4/4	1	1	1/4	1/4	1		2	62		742
63	63	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67		742
63	63	5/8	5/8	4/4	2	1	1/8	1/8	1		2	50		749
63	63	3/4	3/4	4/4	2	1	1/8	1/8	1		1	55		750
63	63	3/4	3/4	4/4	1	1	1/4	1/4	1		2	62		743
63	63	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67		743
63	63	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71		743
63	63	7/8	7/8	4/4	2	1	1/8	1/8	1		2	50		751
64	64	0	0	4/4	2	1	1/8	1/8	1		2	38		758
64	64	0	0	4/4	1	1	1/4	1/4	1		0	60		752
64	64	0	0	4/4	1	1	1/4	1/4	1		-1	65		752
64	64	0	0	4/4	1	1	1/4	1/4	1		3	69		752
64	64	1/8	1/8	4/4	2	1	1/8	1/8	1		3	45		759
64	64	1/4	1/4	4/4	2	1	1/8	1/8	1		-1	53		760
64	64	1/4	1/4	4/4	1	1	1/8	1/8	1		0	60		753
64	64	1/4	1/4	4/4	1	1	1/8	1/8	1		-1	65		753
64	64	1/4	1/4	4/4	1	1	1/8	1/8	1		3	69		753
64	64	3/8	3/8	4/4	2	1	1/8	1/8	1		3	45		761
64	64	3/8	3/8	4/4	1	1	1/8	1/8	1		2	62		754
64	64	3/8	3/8	4/4	1	1	1/8	1/8	1		-1	65		754
64	64	3/8	3/8	4/4	1	1	1/8	1/8	1		5	71		754
64	64	1/2	1/2	4/4	2	1	1/8	1/8	1		-1	41		762
64	64	1/2	1/2	4/4	1	1	1/8	1/8	1		0	60		755
64	64	1/2	1/2	4/4	1	1	1/8	1/8	1		-1	65		755
64	64	1/2	1/2	4/4	1	1	1/8	1/8	1		3	69		755
64	64	5/8	5/8	4/4	2	1	1/8	1/8	1		0	48		763
64	64	5/8	5/8	4/4	1	1	1/8	1/8	1		2	62		756
64	64	5/8	5/8	4/4	1	1	1/8	1/8	1		-1	65		756
64	64	5/8	5/8	4/4	1	1	1/8	1/8	1		5	71		756
64	64	3/4	3/4	4/4	2	1	1/8	1/8	1		3	57		764
64	64	3/4	3/4	4/4	1	1	1/4	1/4	1		4	64		757
64	64	3/4	3/4	4/4	1	1	1/4	1/4	1		-1	65		757
64	64	3/4	3/4	4/4	1	1	1/4	1/4	1		0	72		757
64	64	7/8	7/8	4/4	2	1	1/8	1/8	1		0	48		765
65	65	0	0	4/4	2	1	1/8	1/8	1		1	43		771
65	65	0	0	4/4	1	1	1/4	1/4	1		2	62		766
65	65	0	0	4/4	1	1	1/4	1/4	1		1	67		766
65	65	0	0	4/4	1	1	1/4	1/4	1		5	71		766
65	65	1/8	1/8	4/4	2	1	1/8	1/8	1		2	50		772
65	65	1/4	1/4	4/4	2	1	1/8	1/8	1		1	55		773
65	65	1/4	1/4	4/4	1	1	1/8	1/8	1		5	59		767
65	65	1/4	1/4	4/4	1	1	1/8	1/8	1		2	62		767
65	65	1/4	1/4	4/4	1	1	1/8	1/8	1		1	67		767
65	65	3/8	3/8	4/4	2	1	1/8	1/8	1		2	50		774
65	65	3/8	3/8	4/4	1	1	1/8	1/8	1		5	59		768
65	65	3/8	3/8	4/4	1	1	1/8	1/8	1		2	62		768
65	65	3/8	3/8	4/4	1	1	1/8	1/8	1		1	67		768
65	65	1/2	1/2	4/4	2	1	1/8	1/8	1		-1	41		775
65	65	1/2	1/2	4/4	1	1	1/8	1/8	1		5	59		769
65	65	1/2	1/2	4/4	1	1	1/8	1/8	1		2	62		769
65	65	1/2	1/2	4/4	1	1	1/8	1/8	1		1	67		769
65	65	5/8	5/8	4/4	2	1	1/8	1/8	1		2	50		776
65	65	3/4	3/4	4/4	2	1	1/8	1/8	1		1	55		777
65	65	3/4	3/4	4/4	1	1	1/4	1/4	1		2	62		770
65	65	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67		770
65	65	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71		770
65	65	7/8	7/8	4/4	2	1	1/8	1/8	1		2	50		778
66	66	0	0	4/4	2	1	1/8	1/8	1		4	40		781
66	66	0	0	4/4	1	1	1/2	1/2	1		4	64		779
66	66	0	0	4/4	1	1	1/2	1/2	1		8	68		779
66	66	0	0	4/4	1	1	1/2	1/2	1		5	71		779
66	66	1/8	1/8	4/4	2	1	1/8	1/8	1		5	47		782
66	66	1/4	1/4	4/4	2	1	1/8	1/8	1		4	52		783
66	66	3/8	3/8	4/4	2	1	1/8	1/8	1		8	56		784
66	66	1/2	1/2	4/4	2	1	1/8	1/8	1		4	52		785
66	66	1/2	1/2	4/4	1	1	1/2	1/2	1		4	64		780
66	66	5/8	5/8	4/4	2	1	1/8	1/8	1		8	56		786
66	66	3/4	3/4	4/4	2	1	1/8	1/8	1		5	59		787
66	66	7/8	7/8	4/4	2	1	1/8	1/8	1		4	64		788
67	67	0	0	4/4	2	1	1/8	1/8	1		3	57		794
67	67	0	0	4/4	1	1	1/4	1/4	1		3	69		789
67	67	0	0	4/4	1	1	1/4	1/4	1		7	73		789
67	67	0	0	4/4	1	1	1/4	1/4	1		4	76		789
67	67	1/8	1/8	4/4	2	1	1/8	1/8	1		7	61		795
67	67	1/4	1/4	4/4	2	1	1/8	1/8	1		4	64		796
67	67	1/4	1/4	4/4	1	1	1/8	1/8	1		3	69		790
67	67	1/4	1/4	4/4	1	1	1/8	1/8	1		7	73		790
67	67	3/8	3/8	4/4	2	1	1/8	1/8	1		7	61		797
67	67	3/8	3/8	4/4	1	1	1/8	1/8	1		3	69		791
67	67	3/8	3/8	4/4	1	1	1/8	1/8	1		7	73		791
67	67	1/2	1/2	4/4	2	1	1/8	1/8	1		8	56		798
67	67	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69		792
67	67	1/2	1/2	4/4	1	1	1/4	1/4	1		7	73		792
67	67	5/8	5/8	4/4	2	1	1/8	1/8	1		7	61		799
67	67	3/4	3/4	4/4	2	1	1/8	1/8	1		4	64		800
67	67	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69		793
67	67	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73		793
67	67	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76		793
67	67	7/8	7/8	4/4	2	1	1/8	1/8	1		7	61		801
68	68	0	0	4/4	2	1	1/8	1/8	1		6	54		808
68	68	0	0	4/4	1	1	1/4	1/4	1		3	69		802
68	68	0	0	4/4	1	1	1/4	1/4	1		7	73		802
68	68	0	0	4/4	1	1	1/4	1/4	1		6	78		802
68	68	1/8	1/8	4/4	2	1	1/8	1/8	1		7	61		809
68	68	1/4	1/4	4/4	2	1	1/8	1/8	1		6	66		810
68	68	1/4	1/4	4/4	1	1	1/8	1/8	1		3	69		803
68	68	1/4	1/4	4/4	1	1	1/8	1/8	1		7	73		803
68	68	1/4	1/4	4/4	1	1	1/8	1/8	1		6	78		803
68	68	3/8	3/8	4/4	2	1	1/8	1/8	1		7	61		811
68	68	3/8	3/8	4/4	1	1	1/8	1/8	1		5	71		804
68	68	3/8	3/8	4/4	1	1	1/8	1/8	1		7	73		804
68	68	3/8	3/8	4/4	1	1	1/8	1/8	1		8	80		804
68	68	1/2	1/2	4/4	2	1	1/8	1/8	1		2	50		812
68	68	1/2	1/2	4/4	1	1	1/8	1/8	1		3	69		805
68	68	1/2	1/2	4/4	1	1	1/8	1/8	1		2	74		805
68	68	1/2	1/2	4/4	1	1	1/8	1/8	1		6	78		805
68	68	5/8	5/8	4/4	2	1	1/8	1/8	1		3	57		813
68	68	5/8	5/8	4/4	1	1	1/8	1/8	1		3	69		806
68	68	5/8	5/8	4/4	1	1	1/8	1/8	1		2	74		806
68	68	5/8	5/8	4/4	1	1	1/8	1/8	1		8	80		806
68	68	3/4	3/4	4/4	2	1	1/8	1/8	1		6	66		814
68	68	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69		807
68	68	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74		807
68	68	3/4	3/4	4/4	1	1	1/4	1/4	1		6	78		807
68	68	7/8	7/8	4/4	2	1	1/8	1/8	1		3	57		815
69	69	0	0	4/4	2	1	1/8	1/8	1		3	45		821
69	69	0	0	4/4	1	1	1/4	1/4	1		3	69		816
69	69	0	0	4/4	1	1	1/4	1/4	1		7	73		816
69	69	0	0	4/4	1	1	1/4	1/4	1		4	76		816
69	69	1/8	1/8	4/4	2	1	1/8	1/8	1		4	52		822
69	69	1/4	1/4	4/4	2	1	1/8	1/8	1		7	61		823
69	69	1/4	1/4	4/4	1	1	1/8	1/8	1		8	68		817
69	69	1/4	1/4	4/4	1	1	1/8	1/8	1		3	69		817
69	69	1/4	1/4	4/4	1	1	1/8	1/8	1		7	73		817
69	69	3/8	3/8	4/4	2	1	1/8	1/8	1		4	52		824
69	69	3/8	3/8	4/4	1	1	1/8	1/8	1		8	68		818
69	69	3/8	3/8	4/4	1	1	1/8	1/8	1		3	69		818
69	69	3/8	3/8	4/4	1	1	1/8	1/8	1		7	73		818
69	69	1/2	1/2	4/4	2	1	1/8	1/8	1		6	42		825
69	69	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66		819
69	69	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69		819
69	69	1/2	1/2	4/4	1	1	1/4	1/4	1		7	73		819
69	69	5/8	5/8	4/4	2	1	1/8	1/8	1		7	49		826
69	69	3/4	3/4	4/4	2	1	1/8	1/8	1		3	57		827
69	69	3/4	3/4	4/4	1	1	1/4	1/4	1		4	64		820
69	69	3/4	3/4	4/4	1	1	1/4	1/4	1		6	66		820
69	69	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69		820
69	69	7/8	7/8	4/4	2	1	1/8	1/8	1		7	49		828
70	70	0	0	4/4	2	1	1/8	1/8	1		5	35		830
70	70	0	0	4/4	1	1	1	1	1	1	9	63		829
70	70	0	0	4/4	1	1	1	1	1	1	6	66		829
70	70	0	0	4/4	1	1	1	1	1	1	3	69		829
70	70	0	0	4/4	1	1	1	1	1	1	7	73		829
70	70	1/8	1/8	4/4	2	1	1/8	1/8	1		6	42		831
70	70	1/4	1/4	4/4	2	1	1/8	1/8	1		5	47		832
70	70	3/8	3/8	4/4	2	1	1/8	1/8	1		6	42		833
70	70	1/2	1/2	4/4	2	1	1/8	1/8	1		6	42		834
70	70	5/8	5/8	4/4	2	1	1/8	1/8	1		5	47		835
70	70	3/4	3/4	4/4	2	1	1/8	1/8	1		6	54		836
70	70	7/8	7/8	4/4	2	1	1/8	1/8	1		5	47		837
71	71	0	0	4/4	2	1	1/8	1/8	1		5	47		843
71	71	0	0	4/4	1	1	1/4	1/4	1	-1	9	63		838
71	71	0	0	4/4	1	1	1/4	1/4	1	-1	6	66		838
71	71	0	0	4/4	1	1	1/4	1/4	1	-1	3	69		838
71	71	0	0	4/4	1	1	1/4	1/4	1	-1	7	73		838
71	71	1/8	1/8	4/4	2	1	1/8	1/8	1		6	54		844
71	71	1/4	1/4	4/4	2	1	1/8	1/8	1		5	59		845
71	71	1/4	1/4	4/4	1	1	1/8	1/8	1		7	61		839
71	71	1/4	1/4	4/4	1	1	1/8	1/8	1		6	66		839
71	71	1/4	1/4	4/4	1	1	1/8	1/8	1		3	69		839
