mc 	mn 	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats     	next
81 	80 	0     	3/1    	6      	0        	     	                	          	       	      	            	82
82 	81 	0     	3/1    	6      	0        	     	                	          	       	      	            	83
83 	82 	0     	3/1    	6      	0        	     	                	          	       	      	            	84
84 	83 	0     	3/1    	6      	0        	     	                	          	       	      	            	85
85 	84 	0     	3/1    	6      	0        	     	                	          	       	      	            	86
86 	85 	0     	3/1    	6      	0        	     	                	          	       	      	            	87
87 	86 	0     	3/1    	6      	0        	     	                	          	       	      	            	88
88 	87 	0     	3/1    	6      	0        	     	                	          	       	      	            	89
89 	88 	0     	3/1    	6      	0        	     	                	          	       	      	            	90
90 	89 	0     	3/1    	6      	0        	     	                	          	       	      	            	91
91 	90 	0     	3/1    	6      	0        	     	                	          	       	      	            	92
92 	91 	0     	3/1    	6      	0        	     	                	          	       	      	            	93
93 	92 	0     	3/1    	6      	0        	     	                	          	       	      	            	94
94 	93 	0     	3/1    	6      	0        	     	                	          	       	      	            	95
95 	94 	0     	3/1    	6      	0        	     	                	          	       	      	            	96
96 	95 	0     	3/1    	2      	0        	     	                	          	double 	      	            	97
97 	95 	0     	4/4    	1      	0        	     	                	1         	       	      	            	98
98 	96 	0     	4/4    	1      	0        	     	                	          	       	      	            	99
99 	97 	0     	4/4    	1      	0        	     	                	          	       	      	            	100
100	98 	0     	4/4    	1      	0        	     	                	          	       	      	            	101
101	99 	0     	4/4    	1      	0        	     	                	          	       	      	            	102
102	100	0     	4/4    	1      	0        	     	                	          	       	      	            	103
103	101	0     	4/4    	1      	0        	     	                	          	       	      	            	104
104	102	0     	4/4    	1      	0        	     	                	          	       	      	            	105
105	103	0     	4/4    	1      	0        	     	                	          	       	      	            	106
106	104	0     	4/4    	1      	0        	     	                	          	       	      	            	107
107	105	0     	4/4    	1      	0        	     	                	          	       	      	            	108
108	106	0     	4/4    	2      	0        	     	                	          	end    	      	lastMeasure 	-1
