mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1 	1 	0       	0       	4/4    	5    	1    	1       	1               	1     	1   	2  	50  	2
1 	1 	0       	0       	4/4    	4    	1    	1       	1               	1     	    	3  	57  	1
1 	1 	1/2     	1/2     	4/4    	3    	1    	1/2     	1/2             	1     	1   	2  	62  	0
2 	2 	0       	0       	4/4    	5    	1    	1/2     	1/2             	1     	-1  	2  	50  	16
2 	2 	0       	0       	4/4    	4    	1    	1/8     	1/8             	1     	    	6  	54  	8
2 	2 	0       	0       	4/4    	3    	1    	1/2     	1/2             	1     	-1  	2  	62  	3
2 	2 	1/8     	1/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	6  	54  	9
2 	2 	1/4     	1/4     	4/4    	4    	1    	1/8     	1/8             	1     	    	6  	54  	10
2 	2 	3/8     	3/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	4  	52  	11
2 	2 	1/2     	1/2     	4/4    	5    	1    	1/2     	1/2             	1     	    	1  	43  	17
2 	2 	1/2     	1/2     	4/4    	4    	1    	1/8     	1/8             	1     	    	1  	55  	12
2 	2 	1/2     	1/2     	4/4    	3    	1    	1/8     	1/8             	1     	    	5  	59  	4
2 	2 	5/8     	5/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	2  	50  	13
2 	2 	5/8     	5/8     	4/4    	3    	1    	1/8     	1/8             	1     	    	5  	59  	5
2 	2 	3/4     	3/4     	4/4    	4    	1    	1/8     	1/8             	1     	    	2  	50  	14
2 	2 	3/4     	3/4     	4/4    	3    	1    	1/8     	1/8             	1     	    	5  	59  	6
2 	2 	7/8     	7/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	0  	48  	15
2 	2 	7/8     	7/8     	4/4    	3    	1    	1/8     	1/8             	1     	    	3  	57  	7
3 	3 	0       	0       	4/4    	5    	1    	1/2     	1/2             	1     	    	0  	48  	31
3 	3 	0       	0       	4/4    	4    	1    	3/16    	1/8             	3/2   	    	4  	52  	25
3 	3 	0       	0       	4/4    	3    	1    	1/8     	1/8             	1     	    	0  	60  	18
3 	3 	1/8     	1/8     	4/4    	3    	1    	1/8     	1/8             	1     	    	1  	55  	19
3 	3 	3/16    	3/16    	4/4    	4    	1    	1/16    	1/16            	1     	    	-1 	53  	26
3 	3 	1/4     	1/4     	4/4    	3    	1    	1/8     	1/8             	1     	    	1  	55  	20
