mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1 	1 	1       	1       	3/2    	2    	1    	1/2     	1/2             	1     	    	0  	48  	1
1 	1 	1       	1       	3/2    	4    	1    	1/2     	1/2             	1     	    	0  	48  	3
1 	1 	1       	1       	3/2    	1    	1    	1/2     	1/2             	1     	    	4  	52  	0
1 	1 	1       	1       	3/2    	3    	1    	1/2     	1/2             	1     	    	0  	60  	2
2 	2 	0       	0       	3/2    	2    	1    	1/2     	1/2             	1     	    	0  	48  	7
2 	2 	0       	0       	3/2    	4    	1    	1/2     	1/2             	1     	    	0  	48  	13
2 	2 	0       	0       	3/2    	1    	1    	1/2     	1/2             	1     	    	4  	52  	4
2 	2 	0       	0       	3/2    	3    	1    	1/2     	1/2             	1     	    	0  	60  	10
2 	2 	1/2     	1/2     	3/2    	4    	1    	3/4     	1/2             	3/2   	    	5  	47  	14
2 	2 	1/2     	1/2     	3/2    	2    	1    	3/4     	1/2             	3/2   	    	0  	48  	8
2 	2 	1/2     	1/2     	3/2    	1    	1    	3/4     	1/2             	3/2   	    	4  	52  	5
2 	2 	1/2     	1/2     	3/2    	3    	1    	3/4     	1/2             	3/2   	    	5  	59  	11
2 	2 	5/4     	5/4     	3/2    	4    	1    	1/4     	1/4             	1     	    	3  	45  	15
2 	2 	5/4     	5/4     	3/2    	2    	1    	1/4     	1/4             	1     	    	0  	48  	9
2 	2 	5/4     	5/4     	3/2    	1    	1    	1/4     	1/4             	1     	    	4  	52  	6
2 	2 	5/4     	5/4     	3/2    	3    	1    	1/4     	1/4             	1     	    	3  	57  	12
3 	3 	0       	0       	3/2    	4    	1    	1/2     	1/2             	1     	    	3  	45  	25
3 	3 	0       	0       	3/2    	2    	1    	1/2     	1/2             	1     	    	0  	48  	19
3 	3 	0       	0       	3/2    	1    	1    	1/2     	1/2             	1     	    	4  	52  	16
3 	3 	0       	0       	3/2    	3    	1    	1/2     	1/2             	1     	    	3  	57  	22
3 	3 	1/2     	1/2     	3/2    	4    	1    	3/4     	1/2             	3/2   	    	1  	43  	26
3 	3 	1/2     	1/2     	3/2    	2    	1    	3/4     	1/2             	3/2   	    	0  	48  	20
3 	3 	1/2     	1/2     	3/2    	1    	1    	3/4     	1/2             	3/2   	    	4  	52  	17
3 	3 	1/2     	1/2     	3/2    	3    	1    	3/4     	1/2             	3/2   	    	1  	55  	23
3 	3 	5/4     	5/4     	3/2    	4    	1    	1/4     	1/4             	1     	    	-1 	41  	27
3 	3 	5/4     	5/4     	3/2    	2    	1    	1/4     	1/4             	1     	    	0  	48  	21
3 	3 	5/4     	5/4     	3/2    	1    	1    	1/4     	1/4             	1     	    	2  	50  	18
3 	3 	5/4     	5/4     	3/2    	3    	1    	1/4     	1/4             	1     	    	-1 	53  	24
4 	4 	0       	0       	3/2    	4    	1    	1/2     	1/2             	1     	    	-1 	41  	37
4 	4 	0       	0       	3/2    	2    	1    	1/2     	1/2             	1     	    	0  	48  	31
4 	4 	0       	0       	3/2    	1    	1    	1/2     	1/2             	1     	    	2  	50  	28
4 	4 	0       	0       	3/2    	3    	1    	1/2     	1/2             	1     	    	-1 	53  	34
4 	4 	1/2     	1/2     	3/2    	4    	1    	3/4     	1/2             	3/2   	    	1  	43  	38
4 	4 	1/2     	1/2     	3/2    	2    	1    	3/4     	1/2             	3/2   	    	0  	48  	32
4 	4 	1/2     	1/2     	3/2    	1    	1    	3/4     	1/2             	3/2   	    	2  	50  	29
4 	4 	1/2     	1/2     	3/2    	3    	1    	3/4     	1/2             	3/2   	    	1  	55  	35
4 	4 	5/4     	5/4     	3/2    	4    	1    	1/4     	1/4             	1     	    	1  	43  	39
4 	4 	5/4     	5/4     	3/2    	2    	1    	1/4     	1/4             	1     	    	5  	47  	33
4 	4 	5/4     	5/4     	3/2    	1    	1    	1/4     	1/4             	1     	    	0  	48  	30
4 	4 	5/4     	5/4     	3/2    	3    	1    	1/4     	1/4             	1     	    	1  	55  	36
5 	5 	0       	0       	3/2    	4    	1    	1/2     	1/2             	1     	    	0  	36  	49
