mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1 	1 	0       	0       	4/4    	5    	1    	1       	1               	1     	    	1  	55  	4
1 	1 	0       	0       	4/4    	4    	1    	1       	1               	1     	    	2  	62  	3
1 	1 	0       	0       	4/4    	3    	1    	1       	1               	1     	    	1  	67  	2
1 	1 	0       	0       	4/4    	2    	1    	1       	1               	1     	    	5  	71  	1
1 	1 	0       	0       	4/4    	1    	1    	1       	1               	1     	1   	2  	74  	0
2 	2 	0       	0       	4/4    	5    	1    	1/2     	1/2             	1     	    	4  	52  	16
2 	2 	0       	0       	4/4    	4    	1    	1/2     	1/2             	1     	    	1  	55  	14
2 	2 	0       	0       	4/4    	3    	1    	1/2     	1/2             	1     	    	1  	67  	11
2 	2 	0       	0       	4/4    	2    	1    	1/2     	1/2             	1     	    	5  	71  	8
2 	2 	0       	0       	4/4    	1    	1    	1/2     	1/2             	1     	-1  	2  	74  	5
2 	2 	1/2     	1/2     	4/4    	5    	1    	1/2     	1/2             	1     	    	5  	47  	17
2 	2 	1/2     	1/2     	4/4    	4    	1    	1/2     	1/2             	1     	    	1  	55  	15
2 	2 	1/2     	1/2     	4/4    	3    	1    	1/4     	1/4             	1     	    	2  	62  	12
2 	2 	1/2     	1/2     	4/4    	2    	1    	1/4     	1/4             	1     	    	3  	69  	9
2 	2 	1/2     	1/2     	4/4    	1    	1    	1/4     	1/4             	1     	    	0  	72  	6
2 	2 	3/4     	3/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	2  	62  	13
2 	2 	3/4     	3/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	1  	67  	10
2 	2 	3/4     	3/4     	4/4    	1    	1    	1/4     	1/4             	1     	    	5  	71  	7
3 	3 	0       	0       	4/4    	5    	1    	1       	1               	1     	    	2  	50  	22
3 	3 	0       	0       	4/4    	4    	1    	1       	1               	1     	    	3  	57  	21
3 	3 	0       	0       	4/4    	3    	1    	1       	1               	1     	    	2  	62  	20
3 	3 	0       	0       	4/4    	2    	1    	1       	1               	1     	    	6  	66  	19
3 	3 	0       	0       	4/4    	1    	1    	1       	1               	1     	    	3  	69  	18
4 	4 	0       	0       	4/4    	4    	1    	1       	1               	1     	    	1  	55  	27
4 	4 	0       	0       	4/4    	5    	1    	1       	1               	1     	    	1  	55  	28
4 	4 	0       	0       	4/4    	3    	1    	1       	1               	1     	    	2  	62  	26
4 	4 	0       	0       	4/4    	2    	1    	1       	1               	1     	    	1  	67  	25
4 	4 	0       	0       	4/4    	1    	1    	1/2     	1/2             	1     	    	5  	71  	23
4 	4 	1/2     	1/2     	4/4    	1    	1    	1/2     	1/2             	1     	1   	1  	79  	24
5 	5 	0       	0       	4/4    	5    	1    	1       	1               	1     	    	0  	60  	33
5 	5 	0       	0       	4/4    	3    	1    	1       	1               	1     	    	4  	64  	31
5 	5 	0       	0       	4/4    	2    	1    	1       	1               	1     	1   	4  	76  	30
5 	5 	0       	0       	4/4    	1    	1    	1       	1               	1     	0   	1  	79  	29
5 	5 	1/2     	1/2     	4/4    	4    	1    	1/2     	1/2             	1     	    	1  	67  	32
6 	6 	0       	0       	4/4    	5    	1    	1/2     	1/2             	1     	    	3  	57  	45
6 	6 	0       	0       	4/4    	4    	1    	1/2     	1/2             	1     	    	0  	60  	43
6 	6 	0       	0       	4/4    	3    	1    	1/2     	1/2             	1     	    	4  	64  	40
6 	6 	0       	0       	4/4    	2    	1    	1/2     	1/2             	1     	-1  	4  	76  	37
6 	6 	0       	0       	4/4    	1    	1    	1/2     	1/2             	1     	-1  	1  	79  	34
6 	6 	1/2     	1/2     	4/4    	5    	1    	1/2     	1/2             	1     	    	4  	52  	46
6 	6 	1/2     	1/2     	4/4    	4    	1    	1/2     	1/2             	1     	    	0  	60  	44
6 	6 	1/2     	1/2     	4/4    	3    	1    	1/4     	1/4             	1     	    	-1 	65  	41
6 	6 	1/2     	1/2     	4/4    	2    	1    	1/4     	1/4             	1     	    	2  	74  	38
6 	6 	1/2     	1/2     	4/4    	1    	1    	1/4     	1/4             	1     	    	-1 	77  	35
6 	6 	3/4     	3/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	1  	67  	42
6 	6 	3/4     	3/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	0  	72  	39
6 	6 	3/4     	3/4     	4/4    	1    	1    	1/4     	1/4             	1     	    	4  	76  	36
7 	7 	0       	0       	4/4    	5    	1    	1       	1               	1     	    	1  	55  	51
7 	7 	0       	0       	4/4    	4    	1    	1       	1               	1     	    	2  	62  	50
7 	7 	0       	0       	4/4    	3    	1    	1       	1               	1     	    	1  	67  	49
7 	7 	0       	0       	4/4    	2    	1    	1       	1               	1     	    	5  	71  	48
7 	7 	0       	0       	4/4    	1    	1    	1       	1               	1     	    	2  	74  	47
8 	8 	0       	0       	4/4    	5    	1    	1       	1               	1     	    	0  	48  	56
8 	8 	0       	0       	4/4    	4    	1    	1       	1               	1     	    	4  	64  	55
8 	8 	0       	0       	4/4    	3    	1    	1       	1               	1     	    	1  	67  	54
8 	8 	0       	0       	4/4    	1    	1    	1       	1               	1     	    	0  	72  	52
8 	8 	0       	0       	4/4    	2    	1    	1       	1               	1     	    	0  	72  	53
9 	9 	0       	0       	4/4    	4    	1    	3/8     	1/4             	3/2   	    	0  	60  	69
9 	9 	0       	0       	4/4    	5    	1    	3/8     	1/4             	3/2   	    	0  	60  	73
9 	9 	0       	0       	4/4    	3    	1    	3/8     	1/4             	3/2   	    	4  	64  	65
9 	9 	0       	0       	4/4    	2    	1    	3/8     	1/4             	3/2   	    	1  	67  	61
9 	9 	0       	0       	4/4    	1    	1    	3/8     	1/4             	3/2   	    	0  	72  	57
9 	9 	3/8     	3/8     	4/4    	5    	1    	1/8     	1/8             	1     	    	0  	60  	74
9 	9 	3/8     	3/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	2  	62  	70
9 	9 	3/8     	3/8     	4/4    	3    	1    	1/8     	1/8             	1     	    	4  	64  	66
9 	9 	3/8     	3/8     	4/4    	2    	1    	1/8     	1/8             	1     	    	1  	67  	62
9 	9 	3/8     	3/8     	4/4    	1    	1    	1/8     	1/8             	1     	    	0  	72  	58
9 	9 	1/2     	1/2     	4/4    	5    	1    	1/4     	1/4             	1     	    	0  	60  	75
9 	9 	1/2     	1/2     	4/4    	3    	1    	1/4     	1/4             	1     	    	4  	64  	67
9 	9 	1/2     	1/2     	4/4    	4    	1    	1/4     	1/4             	1     	    	4  	64  	71
9 	9 	1/2     	1/2     	4/4    	2    	1    	1/4     	1/4             	1     	    	3  	69  	63
9 	9 	1/2     	1/2     	4/4    	1    	1    	1/4     	1/4             	1     	    	0  	72  	59
9 	9 	3/4     	3/4     	4/4    	5    	1    	1/4     	1/4             	1     	    	5  	59  	76
9 	9 	3/4     	3/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	2  	62  	72
9 	9 	3/4     	3/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	1  	67  	68
9 	9 	3/4     	3/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	5  	71  	64
9 	9 	3/4     	3/4     	4/4    	1    	1    	1/4     	1/4             	1     	    	2  	74  	60
10	10	0       	0       	4/4    	5    	1    	1/2     	1/2             	1     	    	3  	57  	89
10	10	0       	0       	4/4    	4    	1    	1/2     	1/2             	1     	    	0  	60  	86
10	10	0       	0       	4/4    	3    	1    	1/2     	1/2             	1     	    	3  	69  	83
10	10	0       	0       	4/4    	2    	1    	1/2     	1/2             	1     	    	0  	72  	80
10	10	0       	0       	4/4    	1    	1    	1/2     	1/2             	1     	    	-1 	77  	77
10	10	1/2     	1/2     	4/4    	5    	1    	1/4     	1/4             	1     	    	3  	57  	90
10	10	1/2     	1/2     	4/4    	4    	1    	1/4     	1/4             	1     	    	0  	60  	87
10	10	1/2     	1/2     	4/4    	3    	1    	1/4     	1/4             	1     	    	3  	69  	84
10	10	1/2     	1/2     	4/4    	2    	1    	1/4     	1/4             	1     	    	0  	72  	81
10	10	1/2     	1/2     	4/4    	1    	1    	1/4     	1/4             	1     	    	4  	76  	78
10	10	3/4     	3/4     	4/4    	5    	1    	1/4     	1/4             	1     	    	3  	57  	91
10	10	3/4     	3/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	0  	60  	88
10	10	3/4     	3/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	3  	69  	85
10	10	3/4     	3/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	0  	72  	82
10	10	3/4     	3/4     	4/4    	1    	1    	1/4     	1/4             	1     	    	6  	78  	79
11	11	0       	0       	4/4    	5    	1    	1/2     	1/2             	1     	    	1  	55  	97
11	11	0       	0       	4/4    	3    	1    	1/2     	1/2             	1     	    	2  	62  	94
11	11	0       	0       	4/4    	4    	1    	1       	1               	1     	    	1  	67  	96
11	11	0       	0       	4/4    	2    	1    	1/2     	1/2             	1     	    	5  	71  	93
11	11	0       	0       	4/4    	1    	1    	1       	1               	1     	1   	1  	79  	92
11	11	1/2     	1/2     	4/4    	5    	1    	1/2     	1/2             	1     	1   	0  	60  	98
11	11	1/2     	1/2     	4/4    	3    	1    	1/2     	1/2             	1     	1   	4  	64  	95
12	12	0       	0       	4/4    	5    	1    	1/4     	1/4             	1     	-1  	0  	60  	110
12	12	0       	0       	4/4    	3    	1    	1/4     	1/4             	1     	-1  	4  	64  	102
12	12	0       	0       	4/4    	2    	1    	3/4     	1/2             	3/2   	    	4  	64  	100
12	12	0       	0       	4/4    	4    	1    	3/4     	1/2             	3/2   	    	1  	67  	105
12	12	0       	0       	4/4    	1    	1    	1       	1               	1     	-1  	1  	79  	99
12	12	1/4     	1/4     	4/4    	5    	1    	1/16    	1/16            	1     	    	5  	59  	111
12	12	1/4     	1/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	6  	66  	103
12	12	5/16    	5/16    	4/4    	5    	1    	1/16    	1/16            	1     	    	3  	57  	112
12	12	3/8     	3/8     	4/4    	5    	1    	1/16    	1/16            	1     	    	1  	55  	113
12	12	7/16    	7/16    	4/4    	5    	1    	1/16    	1/16            	1     	    	-1 	53  	114
12	12	1/2     	1/2     	4/4    	5    	1    	1/2     	1/2             	1     	    	4  	52  	115
12	12	1/2     	1/2     	4/4    	3    	1    	1/2     	1/2             	1     	1   	1  	67  	104
12	12	3/4     	3/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	4  	64  	101
12	12	3/4     	3/4     	4/4    	4    	1    	1/16    	1/16            	1     	    	-1 	65  	106
12	12	13/16   	13/16   	4/4    	4    	1    	1/16    	1/16            	1     	    	4  	64  	107
12	12	7/8     	7/8     	4/4    	4    	1    	1/16    	1/16            	1     	    	2  	62  	108
12	12	15/16   	15/16   	4/4    	4    	1    	1/16    	1/16            	1     	    	0  	60  	109
13	13	0       	0       	4/4    	5    	1    	1       	1               	1     	    	1  	55  	128
13	13	0       	0       	4/4    	4    	1    	1/4     	1/4             	1     	    	5  	59  	125
13	13	0       	0       	4/4    	2    	1    	1       	1               	1     	    	2  	62  	118
13	13	0       	0       	4/4    	3    	1    	1/4     	1/4             	1     	-1  	1  	67  	119
13	13	1/4     	1/4     	4/4    	4    	1    	1/2     	1/2             	1     	    	0  	60  	126
13	13	1/4     	1/4     	4/4    	3    	1    	1/16    	1/16            	1     	    	-1 	65  	120
13	13	1/4     	1/4     	4/4    	1    	1    	1/4     	1/4             	1     	    	3  	81  	116
13	13	5/16    	5/16    	4/4    	3    	1    	1/16    	1/16            	1     	    	4  	64  	121
13	13	3/8     	3/8     	4/4    	3    	1    	1/16    	1/16            	1     	    	2  	62  	122
13	13	7/16    	7/16    	4/4    	3    	1    	1/16    	1/16            	1     	    	0  	60  	123
13	13	1/2     	1/2     	4/4    	3    	1    	1/2     	1/2             	1     	    	2  	62  	124
13	13	1/2     	1/2     	4/4    	1    	1    	1/2     	1/2             	1     	    	-1 	77  	117
13	13	3/4     	3/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	5  	59  	127
14	14	0       	0       	4/4    	5    	1    	1/2     	1/2             	1     	    	0  	48  	137
14	14	0       	0       	4/4    	3    	1    	1/2     	1/2             	1     	    	0  	60  	131
14	14	0       	0       	4/4    	4    	1    	1/2     	1/2             	1     	    	0  	60  	134
14	14	0       	0       	4/4    	2    	1    	1       	1               	1     	    	1  	67  	130
14	14	0       	0       	4/4    	1    	1    	1       	1               	1     	    	4  	76  	129
14	14	1/2     	1/2     	4/4    	4    	1    	3/8     	1/4             	3/2   	    	0  	60  	135
14	14	1/2     	1/2     	4/4    	5    	1    	3/8     	1/4             	3/2   	    	0  	60  	138
14	14	1/2     	1/2     	4/4    	3    	1    	3/8     	1/4             	3/2   	    	4  	64  	132
14	14	7/8     	7/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	0  	60  	136
14	14	7/8     	7/8     	4/4    	5    	1    	1/8     	1/8             	1     	    	0  	60  	139
14	14	7/8     	7/8     	4/4    	3    	1    	1/8     	1/8             	1     	    	4  	64  	133
15	15	0       	0       	4/4    	4    	1    	1/4     	1/4             	1     	    	0  	60  	143
15	15	0       	0       	4/4    	5    	1    	1/4     	1/4             	1     	    	0  	60  	146
15	15	0       	0       	4/4    	3    	1    	1/4     	1/4             	1     	    	4  	64  	140
15	15	1/4     	1/4     	4/4    	5    	1    	1/4     	1/4             	1     	    	5  	59  	147
15	15	1/4     	1/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	2  	62  	141
15	15	1/4     	1/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	2  	62  	144
15	15	1/2     	1/2     	4/4    	5    	1    	1/2     	1/2             	1     	    	3  	57  	148
15	15	1/2     	1/2     	4/4    	3    	1    	1/2     	1/2             	1     	    	0  	60  	142
15	15	1/2     	1/2     	4/4    	4    	1    	1/2     	1/2             	1     	    	-1 	65  	145
16	16	0       	0       	4/4    	5    	1    	1/4     	1/4             	1     	    	3  	57  	155
16	16	0       	0       	4/4    	3    	1    	1/4     	1/4             	1     	    	0  	60  	149
16	16	0       	0       	4/4    	4    	1    	1/4     	1/4             	1     	    	4  	64  	152
16	16	1/4     	1/4     	4/4    	5    	1    	1/4     	1/4             	1     	    	3  	57  	156
16	16	1/4     	1/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	0  	60  	150
16	16	1/4     	1/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	6  	66  	153
16	16	1/2     	1/2     	4/4    	5    	1    	1/2     	1/2             	1     	    	1  	55  	157
16	16	1/2     	1/2     	4/4    	3    	1    	1/2     	1/2             	1     	    	2  	62  	151
16	16	1/2     	1/2     	4/4    	4    	1    	1/2     	1/2             	1     	1   	1  	67  	154
17	17	0       	0       	4/4    	5    	1    	1/8     	1/8             	1     	    	0  	60  	160
17	17	0       	0       	4/4    	3    	1    	1       	1               	1     	    	4  	64  	158
17	17	0       	0       	4/4    	4    	1    	1       	1               	1     	-1  	1  	67  	159
17	17	1/8     	1/8     	4/4    	5    	1    	1/8     	1/8             	1     	    	2  	62  	161
17	17	1/4     	1/4     	4/4    	5    	1    	1/8     	1/8             	1     	    	0  	60  	162
17	17	3/8     	3/8     	4/4    	5    	1    	1/16    	1/16            	1     	    	5  	59  	163
17	17	7/16    	7/16    	4/4    	5    	1    	1/16    	1/16            	1     	    	3  	57  	164
17	17	1/2     	1/2     	4/4    	5    	1    	1/8     	1/8             	1     	    	1  	55  	165
17	17	5/8     	5/8     	4/4    	5    	1    	1/8     	1/8             	1     	    	-1 	53  	166
17	17	3/4     	3/4     	4/4    	5    	1    	1/8     	1/8             	1     	    	4  	52  	167
17	17	7/8     	7/8     	4/4    	5    	1    	1/8     	1/8             	1     	    	2  	50  	168
18	18	0       	0       	4/4    	5    	1    	1/8     	1/8             	1     	    	0  	48  	179
18	18	0       	0       	4/4    	4    	1    	3/4     	1/2             	3/2   	    	4  	64  	174
18	18	0       	0       	4/4    	3    	1    	3/4     	1/2             	3/2   	    	1  	67  	169
18	18	1/8     	1/8     	4/4    	5    	1    	1/8     	1/8             	1     	    	5  	47  	180
18	18	1/4     	1/4     	4/4    	5    	1    	1/16    	1/16            	1     	    	0  	48  	181
18	18	5/16    	5/16    	4/4    	5    	1    	1/16    	1/16            	1     	    	2  	50  	182
18	18	3/8     	3/8     	4/4    	5    	1    	1/16    	1/16            	1     	    	4  	52  	183
18	18	7/16    	7/16    	4/4    	5    	1    	1/16    	1/16            	1     	    	-1 	53  	184
18	18	1/2     	1/2     	4/4    	5    	1    	1/2     	1/2             	1     	1   	1  	55  	185
18	18	3/4     	3/4     	4/4    	4    	1    	1/16    	1/16            	1     	    	2  	62  	175
18	18	3/4     	3/4     	4/4    	3    	1    	1/16    	1/16            	1     	    	-1 	65  	170
18	18	13/16   	13/16   	4/4    	4    	1    	1/16    	1/16            	1     	    	0  	60  	176
18	18	13/16   	13/16   	4/4    	3    	1    	1/16    	1/16            	1     	    	4  	64  	171
18	18	7/8     	7/8     	4/4    	4    	1    	1/16    	1/16            	1     	    	5  	59  	177
18	18	7/8     	7/8     	4/4    	3    	1    	1/16    	1/16            	1     	    	2  	62  	172
18	18	15/16   	15/16   	4/4    	4    	1    	1/16    	1/16            	1     	    	3  	57  	178
18	18	15/16   	15/16   	4/4    	3    	1    	1/16    	1/16            	1     	    	0  	60  	173
19	19	0       	0       	4/4    	5    	1    	1       	1               	1     	-1  	1  	55  	193
19	19	0       	0       	4/4    	4    	1    	1/4     	1/4             	1     	    	5  	59  	190
