mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1 	1 	0       	0       	4/4    	4    	1    	1/2     	1/2             	1     	    	-1 	65  	0
1 	1 	1/2     	1/2     	4/4    	4    	1    	1/4     	1/4             	1     	    	-1 	65  	1
1 	1 	3/4     	3/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	-1 	65  	2
1 	1 	1       	1       	4/4    	4    	1    	3/4     	1/2             	3/2   	    	-1 	65  	3
1 	1 	7/4     	7/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	4  	64  	4
2 	2 	0       	0       	4/4    	4    	1    	1/4     	1/4             	1     	    	2  	62  	7
2 	2 	1/4     	1/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	0  	60  	8
2 	2 	1/2     	1/2     	4/4    	4    	1    	1/4     	1/4             	1     	    	-2 	58  	9
2 	2 	3/4     	3/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	3  	57  	10
2 	2 	1       	1       	4/4    	4    	1    	1       	1               	1     	    	1  	55  	11
2 	2 	1       	1       	4/4    	1    	1    	1/2     	1/2             	1     	    	2  	62  	5
2 	2 	3/2     	3/2     	4/4    	1    	1    	1/2     	1/2             	1     	    	4  	64  	6
3 	3 	0       	0       	4/4    	4    	1    	2       	2               	1     	    	-1 	53  	25
3 	3 	0       	0       	4/4    	1    	1    	1       	1               	1     	    	-1 	65  	12
3 	3 	0       	0       	4/4    	3    	1    	1/2     	1/2             	1     	    	3  	69  	20
3 	3 	0       	0       	4/4    	2    	1    	1/2     	1/2             	1     	    	0  	72  	15
3 	3 	1/2     	1/2     	4/4    	3    	1    	1/4     	1/4             	1     	    	3  	69  	21
3 	3 	1/2     	1/2     	4/4    	2    	1    	1/4     	1/4             	1     	    	0  	72  	16
3 	3 	3/4     	3/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	3  	69  	22
3 	3 	3/4     	3/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	0  	72  	17
3 	3 	1       	1       	4/4    	1    	1    	1/2     	1/2             	1     	    	-1 	65  	13
3 	3 	1       	1       	4/4    	3    	1    	3/4     	1/2             	3/2   	    	3  	69  	23
3 	3 	1       	1       	4/4    	2    	1    	3/4     	1/2             	3/2   	    	0  	72  	18
3 	3 	3/2     	3/2     	4/4    	1    	1    	1/2     	1/2             	1     	    	-1 	65  	14
3 	3 	7/4     	7/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	1  	67  	24
3 	3 	7/4     	7/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	-2 	70  	19
4 	4 	0       	0       	4/4    	1    	1    	1/4     	1/4             	1     	    	-1 	65  	26
4 	4 	0       	0       	4/4    	3    	1    	1/4     	1/4             	1     	    	-1 	65  	35
4 	4 	0       	0       	4/4    	2    	1    	1/4     	1/4             	1     	    	3  	69  	30
4 	4 	1/4     	1/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	4  	64  	36
4 	4 	1/4     	1/4     	4/4    	1    	1    	1/4     	1/4             	1     	    	1  	67  	27
4 	4 	1/4     	1/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	1  	67  	31
4 	4 	1/2     	1/2     	4/4    	3    	1    	1/4     	1/4             	1     	    	2  	62  	37
4 	4 	1/2     	1/2     	4/4    	2    	1    	1/4     	1/4             	1     	    	-1 	65  	32
4 	4 	1/2     	1/2     	4/4    	1    	1    	1       	1               	1     	    	3  	69  	28
4 	4 	3/4     	3/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	0  	60  	38
4 	4 	3/4     	3/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	4  	64  	33
4 	4 	1       	1       	4/4    	4    	1    	1/2     	1/2             	1     	    	2  	50  	40
4 	4 	1       	1       	4/4    	3    	1    	1       	1               	1     	    	-2 	58  	39
4 	4 	1       	1       	4/4    	2    	1    	1       	1               	1     	    	2  	62  	34
4 	4 	3/2     	3/2     	4/4    	4    	1    	1/2     	1/2             	1     	    	4  	52  	41
4 	4 	3/2     	3/2     	4/4    	1    	1    	1/2     	1/2             	1     	    	1  	67  	29
5 	5 	0       	0       	4/4    	4    	1    	1       	1               	1     	    	-1 	53  	48
5 	5 	0       	0       	4/4    	3    	1    	2       	2               	1     	    	3  	57  	47
5 	5 	0       	0       	4/4    	2    	1    	2       	2               	1     	    	0  	60  	46
5 	5 	0       	0       	4/4    	1    	1    	1       	1               	1     	    	3  	69  	42
5 	5 	1       	1       	4/4    	4    	1    	1/2     	1/2             	1     	    	-1 	53  	49
5 	5 	1       	1       	4/4    	1    	1    	1/2     	1/2             	1     	    	0  	72  	43
5 	5 	3/2     	3/2     	4/4    	4    	1    	1/2     	1/2             	1     	    	-1 	53  	50
5 	5 	3/2     	3/2     	4/4    	1    	1    	1/4     	1/4             	1     	    	-2 	70  	44
5 	5 	7/4     	7/4     	4/4    	1    	1    	1/4     	1/4             	1     	    	3  	69  	45
6 	6 	0       	0       	4/4    	4    	1    	1       	1               	1     	    	1  	55  	60
6 	6 	0       	0       	4/4    	3    	1    	1/2     	1/2             	1     	    	2  	62  	57
6 	6 	0       	0       	4/4    	1    	1    	1/2     	1/2             	1     	    	-2 	70  	51
6 	6 	1/2     	1/2     	4/4    	3    	1    	1/2     	1/2             	1     	    	4  	64  	58
6 	6 	1/2     	1/2     	4/4    	1    	1    	1/2     	1/2             	1     	    	1  	67  	52
6 	6 	1       	1       	4/4    	4    	1    	1       	1               	1     	    	-1 	53  	61
6 	6 	1       	1       	4/4    	3    	1    	1       	1               	1     	    	-1 	65  	59
6 	6 	1       	1       	4/4    	1    	1    	1/4     	1/4             	1     	    	3  	69  	53
6 	6 	5/4     	5/4     	4/4    	1    	1    	1/4     	1/4             	1     	    	3  	69  	54
6 	6 	3/2     	3/2     	4/4    	1    	1    	1/4     	1/4             	1     	    	3  	69  	55
6 	6 	7/4     	7/4     	4/4    	1    	1    	1/4     	1/4             	1     	    	-2 	70  	56
7 	7 	0       	0       	4/4    	3    	1    	3/2     	1               	3/2   	    	-1 	65  	69
7 	7 	0       	0       	4/4    	2    	1    	1/2     	1/2             	1     	    	3  	69  	64
7 	7 	0       	0       	4/4    	1    	1    	1       	1               	1     	    	0  	72  	62
7 	7 	1/2     	1/2     	4/4    	2    	1    	1/4     	1/4             	1     	    	3  	69  	65
7 	7 	3/4     	3/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	3  	69  	66
7 	7 	1       	1       	4/4    	2    	1    	3/4     	1/2             	3/2   	    	3  	69  	67
7 	7 	1       	1       	4/4    	1    	1    	1       	1               	1     	    	0  	72  	63
7 	7 	3/2     	3/2     	4/4    	3    	1    	1/2     	1/2             	1     	    	-1 	65  	70
7 	7 	7/4     	7/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	1  	67  	68
8 	8 	0       	0       	4/4    	2    	1    	1/4     	1/4             	1     	    	-1 	65  	74
8 	8 	0       	0       	4/4    	3    	1    	1/4     	1/4             	1     	    	-1 	65  	79
8 	8 	1/4     	1/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	4  	64  	75
8 	8 	1/4     	1/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	1  	67  	80
8 	8 	1/2     	1/2     	4/4    	2    	1    	1/4     	1/4             	1     	    	2  	62  	76
8 	8 	1/2     	1/2     	4/4    	3    	1    	1       	1               	1     	    	3  	69  	81
8 	8 	3/4     	3/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	0  	60  	77
8 	8 	1       	1       	4/4    	2    	1    	1       	1               	1     	    	-2 	58  	78
8 	8 	1       	1       	4/4    	1    	1    	1/2     	1/2             	1     	    	-1 	65  	71
8 	8 	3/2     	3/2     	4/4    	1    	1    	1/4     	1/4             	1     	    	4  	64  	72
8 	8 	3/2     	3/2     	4/4    	3    	1    	1/2     	1/2             	1     	    	1  	67  	82
8 	8 	7/4     	7/4     	4/4    	1    	1    	1/4     	1/4             	1     	    	2  	62  	73
9 	9 	0       	0       	4/4    	2    	1    	1       	1               	1     	    	3  	57  	89
9 	9 	0       	0       	4/4    	4    	1    	1/2     	1/2             	1     	    	0  	60  	93
9 	9 	0       	0       	4/4    	1    	1    	1/2     	1/2             	1     	    	4  	64  	83
9 	9 	0       	0       	4/4    	3    	1    	1       	1               	1     	    	3  	69  	92
9 	9 	1/2     	1/2     	4/4    	4    	1    	1/4     	1/4             	1     	    	-2 	58  	94
9 	9 	1/2     	1/2     	4/4    	1    	1    	1/2     	1/2             	1     	    	0  	60  	84
9 	9 	3/4     	3/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	3  	57  	95
9 	9 	1       	1       	4/4    	4    	1    	1/2     	1/2             	1     	    	-2 	58  	96
9 	9 	1       	1       	4/4    	1    	1    	1/4     	1/4             	1     	    	2  	62  	85
9 	9 	1       	1       	4/4    	2    	1    	1/2     	1/2             	1     	    	-1 	65  	90
9 	9 	5/4     	5/4     	4/4    	1    	1    	1/4     	1/4             	1     	    	2  	62  	86
9 	9 	3/2     	3/2     	4/4    	4    	1    	1/2     	1/2             	1     	    	1  	55  	97
9 	9 	3/2     	3/2     	4/4    	1    	1    	1/4     	1/4             	1     	    	2  	62  	87
9 	9 	3/2     	3/2     	4/4    	2    	1    	1/2     	1/2             	1     	    	1  	67  	91
9 	9 	7/4     	7/4     	4/4    	1    	1    	1/4     	1/4             	1     	    	4  	64  	88
10	10	0       	0       	4/4    	4    	1    	1/2     	1/2             	1     	    	2  	62  	108
10	10	0       	0       	4/4    	1    	1    	1/2     	1/2             	1     	    	-1 	65  	98
10	10	0       	0       	4/4    	3    	1    	1/2     	1/2             	1     	    	-1 	65  	103
10	10	0       	0       	4/4    	2    	1    	1       	1               	1     	    	3  	69  	100
10	10	1/2     	1/2     	4/4    	4    	1    	1/4     	1/4             	1     	    	0  	60  	109
10	10	1/2     	1/2     	4/4    	3    	1    	1/4     	1/4             	1     	    	4  	64  	104
10	10	1/2     	1/2     	4/4    	1    	1    	1/2     	1/2             	1     	    	-1 	65  	99
10	10	3/4     	3/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	-2 	58  	110
10	10	3/4     	3/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	2  	62  	105
10	10	1       	1       	4/4    	4    	1    	1/2     	1/2             	1     	    	0  	60  	111
10	10	1       	1       	4/4    	3    	1    	1/2     	1/2             	1     	    	4  	64  	106
10	10	1       	1       	4/4    	2    	1    	1/2     	1/2             	1     	    	3  	69  	101
10	10	3/2     	3/2     	4/4    	4    	1    	1/2     	1/2             	1     	    	3  	57  	112
10	10	3/2     	3/2     	4/4    	3    	1    	1/2     	1/2             	1     	    	0  	60  	107
10	10	3/2     	3/2     	4/4    	2    	1    	1/2     	1/2             	1     	    	3  	69  	102
11	11	0       	0       	4/4    	4    	1    	1/4     	1/4             	1     	    	2  	62  	124
11	11	0       	0       	4/4    	3    	1    	1/4     	1/4             	1     	    	-1 	65  	118
11	11	0       	0       	4/4    	2    	1    	1/4     	1/4             	1     	    	-2 	70  	113
11	11	1/4     	1/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	2  	62  	125
11	11	1/4     	1/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	-1 	65  	119
11	11	1/4     	1/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	3  	69  	114
11	11	1/2     	1/2     	4/4    	4    	1    	1/4     	1/4             	1     	    	2  	62  	126
11	11	1/2     	1/2     	4/4    	3    	1    	1/4     	1/4             	1     	    	-1 	65  	120
11	11	1/2     	1/2     	4/4    	2    	1    	1/4     	1/4             	1     	    	1  	67  	115
11	11	3/4     	3/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	-1 	65  	116
11	11	3/4     	3/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	-1 	65  	121
11	11	3/4     	3/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	-1 	65  	127
11	11	1       	1       	4/4    	4    	1    	1       	1               	1     	    	0  	60  	128
11	11	1       	1       	4/4    	3    	1    	1/2     	1/2             	1     	    	4  	64  	122
11	11	1       	1       	4/4    	2    	1    	1       	1               	1     	    	1  	67  	117
11	11	3/2     	3/2     	4/4    	3    	1    	1/2     	1/2             	1     	    	4  	64  	123
12	12	0       	0       	4/4    	4    	1    	2       	2               	1     	    	-1 	53  	140
12	12	0       	0       	4/4    	2    	1    	2       	2               	1     	    	-1 	65  	134
12	12	0       	0       	4/4    	3    	1    	1/2     	1/2             	1     	    	3  	69  	135
12	12	0       	0       	4/4    	1    	1    	1/2     	1/2             	1     	    	0  	72  	129
12	12	1/2     	1/2     	4/4    	3    	1    	1/4     	1/4             	1     	    	3  	69  	136
12	12	1/2     	1/2     	4/4    	1    	1    	1/4     	1/4             	1     	    	0  	72  	130
12	12	3/4     	3/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	3  	69  	137
