mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1 	1 	0       	0       	4/4    	5    	1    	3/4     	1/2             	3/2   	    	1  	55  	9
1 	1 	0       	0       	4/4    	3    	1    	3/4     	1/2             	3/2   	    	1  	67  	6
1 	1 	0       	0       	4/4    	2    	1    	3/4     	1/2             	3/2   	    	-2 	70  	3
1 	1 	0       	0       	4/4    	1    	1    	3/4     	1/2             	3/2   	    	2  	74  	0
1 	1 	3/4     	3/4     	4/4    	5    	1    	1/8     	1/8             	1     	    	1  	55  	10
1 	1 	3/4     	3/4     	4/4    	3    	1    	1/8     	1/8             	1     	    	1  	67  	7
1 	1 	3/4     	3/4     	4/4    	2    	1    	1/8     	1/8             	1     	    	-2 	70  	4
1 	1 	3/4     	3/4     	4/4    	1    	1    	1/8     	1/8             	1     	    	2  	74  	1
1 	1 	7/8     	7/8     	4/4    	5    	1    	1/8     	1/8             	1     	    	1  	55  	11
1 	1 	7/8     	7/8     	4/4    	3    	1    	1/8     	1/8             	1     	    	1  	67  	8
1 	1 	7/8     	7/8     	4/4    	2    	1    	1/8     	1/8             	1     	    	-2 	70  	5
1 	1 	7/8     	7/8     	4/4    	1    	1    	1/8     	1/8             	1     	    	2  	74  	2
2 	2 	0       	0       	4/4    	5    	1    	1/2     	1/2             	1     	    	1  	55  	24
2 	2 	0       	0       	4/4    	3    	1    	1/2     	1/2             	1     	    	1  	67  	20
2 	2 	0       	0       	4/4    	2    	1    	1/2     	1/2             	1     	    	-2 	70  	16
2 	2 	0       	0       	4/4    	1    	1    	1/2     	1/2             	1     	    	2  	74  	12
2 	2 	1/2     	1/2     	4/4    	5    	1    	1/4     	1/4             	1     	    	1  	55  	25
2 	2 	1/2     	1/2     	4/4    	3    	1    	1/4     	1/4             	1     	    	1  	67  	21
2 	2 	1/2     	1/2     	4/4    	2    	1    	1/4     	1/4             	1     	    	-2 	70  	17
