mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1 	1 	0       	0       	4/4    	5    	1    	3/4     	1/2             	3/2   	    	3  	57  	4
1 	1 	1/4     	1/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	6  	66  	2
1 	1 	1/4     	1/4     	4/4    	1    	1    	1/4     	1/4             	1     	    	3  	69  	0
1 	1 	1/2     	1/2     	4/4    	2    	1    	1/2     	1/2             	1     	1   	1  	67  	3
1 	1 	1/2     	1/2     	4/4    	1    	1    	1/2     	1/2             	1     	1   	-2 	70  	1
1 	1 	3/4     	3/4     	4/4    	5    	1    	1/4     	1/4             	1     	1   	1  	55  	5
2 	2 	0       	0       	4/4    	5    	1    	1/4     	1/4             	1     	-1  	1  	55  	14
2 	2 	0       	0       	4/4    	2    	1    	1/4     	1/4             	1     	-1  	1  	67  	10
2 	2 	0       	0       	4/4    	1    	1    	1/4     	1/4             	1     	-1  	-2 	70  	6
2 	2 	1/4     	1/4     	4/4    	5    	1    	1/4     	1/4             	1     	    	1  	55  	15
2 	2 	1/4     	1/4     	4/4    	2    	1    	1/4     	1/4             	1     	    	2  	62  	11
2 	2 	1/4     	1/4     	4/4    	1    	1    	1/4     	1/4             	1     	    	-1 	65  	7
2 	2 	1/2     	1/2     	4/4    	5    	1    	1/4     	1/4             	1     	    	1  	55  	16
2 	2 	1/2     	1/2     	4/4    	2    	1    	3/8     	1/4             	3/2   	    	2  	62  	12
2 	2 	1/2     	1/2     	4/4    	1    	1    	3/8     	1/4             	3/2   	    	-1 	65  	8
2 	2 	3/4     	3/4     	4/4    	5    	1    	1/4     	1/4             	1     	    	1  	55  	17
2 	2 	7/8     	7/8     	4/4    	2    	1    	1/8     	1/8             	1     	    	2  	62  	13
2 	2 	7/8     	7/8     	4/4    	1    	1    	1/8     	1/8             	1     	    	4  	64  	9
3 	3 	0       	0       	4/4    	5    	1    	1/2     	1/2             	1     	    	3  	57  	23
3 	3 	0       	0       	4/4    	2    	1    	1/2     	1/2             	1     	    	7  	61  	20
3 	3 	0       	0       	4/4    	1    	1    	1/2     	1/2             	1     	    	4  	64  	18
3 	3 	1/2     	1/2     	4/4    	5    	1    	1/2     	1/2             	1     	1   	3  	57  	24
3 	3 	1/2     	1/2     	4/4    	2    	1    	1/2     	1/2             	1     	1   	7  	61  	21
3 	3 	1/2     	1/2     	4/4    	1    	1    	1/2     	1/2             	1     	1   	4  	64  	19
3 	3 	3/4     	3/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	2  	62  	22
4 	4 	0       	0       	4/4    	5    	1    	1/2     	1/2             	1     	-1  	3  	57  	34
4 	4 	0       	0       	4/4    	3    	1    	1/4     	1/4             	1     	    	7  	61  	28
4 	4 	0       	0       	4/4    	2    	1    	1/2     	1/2             	1     	-1  	7  	61  	27
4 	4 	0       	0       	4/4    	1    	1    	1/2     	1/2             	1     	-1  	4  	64  	25
