mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1 	1 	0       	0       	4/4    	4    	1    	1/2     	1/2             	1     	    	0  	48  	0
1 	1 	1/2     	1/2     	4/4    	4    	1    	1/4     	1/4             	1     	    	0  	48  	1
1 	1 	3/4     	3/4     	4/4    	4    	1    	1/4     	1/4             	1     	1   	0  	48  	2
2 	2 	0       	0       	4/4    	4    	1    	1/8     	1/8             	1     	-1  	0  	48  	3
2 	2 	1/8     	1/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	0  	48  	4
2 	2 	1/4     	1/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	0  	48  	5
2 	2 	1/2     	1/2     	4/4    	4    	1    	1/2     	1/2             	1     	    	2  	50  	6
3 	3 	0       	0       	4/4    	5    	1    	1/2     	1/2             	1     	    	-1 	41  	11
3 	3 	0       	0       	4/4    	4    	1    	1       	1               	1     	    	0  	48  	10
3 	3 	0       	0       	4/4    	3    	1    	1/2     	1/2             	1     	    	3  	57  	7
3 	3 	1/2     	1/2     	4/4    	5    	1    	1/4     	1/4             	1     	    	-1 	41  	12
3 	3 	1/2     	1/2     	4/4    	3    	1    	1/4     	1/4             	1     	    	3  	57  	8
3 	3 	3/4     	3/4     	4/4    	5    	1    	1/4     	1/4             	1     	1   	-1 	41  	13
3 	3 	3/4     	3/4     	4/4    	3    	1    	1/4     	1/4             	1     	1   	3  	57  	9
4 	4 	0       	0       	4/4    	5    	1    	1/8     	1/8             	1     	-1  	-1 	41  	23
4 	4 	0       	0       	4/4    	3    	1    	1/8     	1/8             	1     	-1  	3  	57  	14
4 	4 	1/8     	1/8     	4/4    	5    	1    	1/8     	1/8             	1     	    	-1 	41  	24
4 	4 	1/8     	1/8     	4/4    	3    	1    	1/8     	1/8             	1     	    	3  	57  	15
4 	4 	1/4     	1/4     	4/4    	5    	1    	1/4     	1/4             	1     	    	-1 	41  	25
4 	4 	1/4     	1/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	-1 	53  	18
4 	4 	1/4     	1/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	3  	57  	16
4 	4 	1/2     	1/2     	4/4    	5    	1    	1/2     	1/2             	1     	    	1  	43  	26
4 	4 	1/2     	1/2     	4/4    	4    	1    	1/8     	1/8             	1     	    	2  	50  	19
4 	4 	1/2     	1/2     	4/4    	3    	1    	1/2     	1/2             	1     	    	-2 	58  	17
4 	4 	5/8     	5/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	0  	48  	20
4 	4 	3/4     	3/4     	4/4    	4    	1    	1/8     	1/8             	1     	    	2  	50  	21
4 	4 	7/8     	7/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	4  	52  	22
5 	5 	0       	0       	4/4    	5    	1    	1       	1               	1     	    	-1 	41  	36
5 	5 	0       	0       	4/4    	4    	1    	1/2     	1/2             	1     	    	-1 	53  	33
5 	5 	0       	0       	4/4    	3    	1    	1/4     	1/4             	1     	    	3  	57  	27
5 	5 	1/4     	1/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	0  	60  	28
5 	5 	1/2     	1/2     	4/4    	4    	1    	1/4     	1/4             	1     	    	-1 	53  	34
5 	5 	1/2     	1/2     	4/4    	3    	1    	1/8     	1/8             	1     	    	3  	57  	29
5 	5 	5/8     	5/8     	4/4    	3    	1    	1/8     	1/8             	1     	    	1  	55  	30
5 	5 	3/4     	3/4     	4/4    	3    	1    	1/8     	1/8             	1     	    	3  	57  	31
5 	5 	3/4     	3/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	0  	60  	35
5 	5 	7/8     	7/8     	4/4    	3    	1    	1/8     	1/8             	1     	    	-2 	58  	32
6 	6 	0       	0       	4/4    	5    	1    	1       	1               	1     	    	-1 	41  	44
6 	6 	0       	0       	4/4    	4    	1    	1/8     	1/8             	1     	    	3  	57  	39
6 	6 	0       	0       	4/4    	3    	1    	1/2     	1/2             	1     	    	0  	60  	37
6 	6 	1/8     	1/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	1  	55  	40
6 	6 	1/4     	1/4     	4/4    	4    	1    	1/8     	1/8             	1     	    	3  	57  	41
6 	6 	3/8     	3/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	-2 	58  	42
6 	6 	1/2     	1/2     	4/4    	3    	1    	1/2     	1/2             	1     	    	-1 	53  	38
6 	6 	1/2     	1/2     	4/4    	4    	1    	1/2     	1/2             	1     	    	0  	60  	43
7 	7 	0       	0       	4/4    	4    	1    	1/4     	1/4             	1     	    	-1 	53  	49
7 	7 	0       	0       	4/4    	1    	1    	1/2     	1/2             	1     	    	3  	69  	45
7 	7 	0       	0       	4/4    	2    	1    	1/2     	1/2             	1     	    	0  	72  	47
7 	7 	1/4     	1/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	-1 	65  	50
7 	7 	1/2     	1/2     	4/4    	4    	1    	1/8     	1/8             	1     	    	-2 	58  	51
7 	7 	1/2     	1/2     	4/4    	1    	1    	1/2     	1/2             	1     	1   	-2 	70  	46
7 	7 	1/2     	1/2     	4/4    	2    	1    	1/2     	1/2             	1     	1   	2  	74  	48
7 	7 	5/8     	5/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	3  	57  	52
7 	7 	3/4     	3/4     	4/4    	4    	1    	1/8     	1/8             	1     	    	1  	55  	53
7 	7 	7/8     	7/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	3  	57  	54
8 	8 	0       	0       	4/4    	4    	1    	1/8     	1/8             	1     	    	-2 	58  	59
8 	8 	0       	0       	4/4    	1    	1    	1/2     	1/2             	1     	-1  	-2 	70  	55
8 	8 	0       	0       	4/4    	2    	1    	1/2     	1/2             	1     	-1  	2  	74  	57
8 	8 	1/8     	1/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	0  	60  	60
8 	8 	1/4     	1/4     	4/4    	4    	1    	1/8     	1/8             	1     	    	2  	62  	61
8 	8 	3/8     	3/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	4  	64  	62
8 	8 	1/2     	1/2     	4/4    	4    	1    	1/4     	1/4             	1     	    	-1 	65  	63
8 	8 	1/2     	1/2     	4/4    	1    	1    	1/2     	1/2             	1     	    	3  	69  	56
8 	8 	1/2     	1/2     	4/4    	2    	1    	1/2     	1/2             	1     	    	0  	72  	58
8 	8 	3/4     	3/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	0  	60  	64
9 	9 	0       	0       	4/4    	4    	1    	1/4     	1/4             	1     	    	-3 	63  	69
9 	9 	0       	0       	4/4    	1    	1    	1/2     	1/2             	1     	    	1  	67  	65
9 	9 	0       	0       	4/4    	2    	1    	1/2     	1/2             	1     	    	-2 	70  	67
9 	9 	1/4     	1/4     	4/4    	4    	1    	1/4     	1/4             	1     	    	-2 	58  	70
9 	9 	1/2     	1/2     	4/4    	4    	1    	1/8     	1/8             	1     	    	2  	62  	71
9 	9 	1/2     	1/2     	4/4    	1    	1    	1/2     	1/2             	1     	    	-1 	65  	66
9 	9 	1/2     	1/2     	4/4    	2    	1    	1/2     	1/2             	1     	    	3  	69  	68
9 	9 	5/8     	5/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	4  	64  	72
9 	9 	3/4     	3/4     	4/4    	4    	1    	1/4     	1/4             	1     	1   	-1 	65  	73
10	10	0       	0       	4/4    	4    	1    	1/4     	1/4             	1     	-1  	-1 	65  	80
10	10	0       	0       	4/4    	2    	1    	1/2     	1/2             	1     	    	1  	67  	78
10	10	0       	0       	4/4    	1    	1    	3/8     	1/4             	3/2   	    	0  	72  	74
