mc 	mn 	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1  	1  	2       	2       	3/1    	2    	1    	1       	1               	1     	    	3  	57  	0
1  	1  	2       	2       	3/1    	4    	1    	1       	1               	1     	    	3  	57  	1
2  	2  	0       	0       	3/1    	2    	1    	1       	1               	1     	    	4  	64  	2
2  	2  	0       	0       	3/1    	4    	1    	1       	1               	1     	    	4  	64  	5
2  	2  	1       	1       	3/1    	2    	1    	1       	1               	1     	    	4  	64  	3
2  	2  	1       	1       	3/1    	4    	1    	1       	1               	1     	    	4  	64  	6
2  	2  	2       	2       	3/1    	2    	1    	1       	1               	1     	    	4  	64  	4
2  	2  	2       	2       	3/1    	4    	1    	1       	1               	1     	    	4  	64  	7
3  	3  	0       	0       	3/1    	2    	1    	1       	1               	1     	    	2  	62  	8
3  	3  	0       	0       	3/1    	4    	1    	1       	1               	1     	    	2  	62  	11
3  	3  	1       	1       	3/1    	4    	1    	1       	1               	1     	    	4  	64  	12
3  	3  	1       	1       	3/1    	2    	1    	2       	2               	1     	    	4  	64  	9
3  	3  	2       	2       	3/1    	3    	1    	1       	1               	1     	    	4  	52  	10
3  	3  	2       	2       	3/1    	4    	1    	1       	1               	1     	    	4  	52  	13
4  	4  	0       	0       	3/1    	3    	1    	1       	1               	1     	    	3  	57  	17
4  	4  	0       	0       	3/1    	4    	1    	1       	1               	1     	    	3  	57  	20
4  	4  	0       	0       	3/1    	2    	1    	3/2     	1               	3/2   	    	0  	60  	14
4  	4  	1       	1       	3/1    	3    	1    	1       	1               	1     	    	3  	57  	18
4  	4  	1       	1       	3/1    	4    	1    	1       	1               	1     	    	3  	57  	21
4  	4  	3/2     	3/2     	3/1    	2    	1    	1/2     	1/2             	1     	    	0  	60  	15
4  	4  	2       	2       	3/1    	3    	1    	1       	1               	1     	    	3  	57  	19
4  	4  	2       	2       	3/1    	4    	1    	1       	1               	1     	    	3  	57  	22
4  	4  	2       	2       	3/1    	2    	1    	1       	1               	1     	    	0  	60  	16
5  	5  	0       	0       	3/1    	3    	1    	1       	1               	1     	    	1  	55  	26
5  	5  	0       	0       	3/1    	4    	1    	1       	1               	1     	    	1  	55  	28
5  	5  	0       	0       	3/1    	2    	1    	1       	1               	1     	    	5  	59  	24
5  	5  	1       	1       	3/1    	3    	1    	2       	2               	1     	    	3  	57  	27
5  	5  	1       	1       	3/1    	4    	1    	2       	2               	1     	    	3  	57  	29
5  	5  	1       	1       	3/1    	2    	1    	2       	2               	1     	    	0  	60  	25
5  	5  	2       	2       	3/1    	1    	1    	1       	1               	1     	    	4  	64  	23
6  	6  	0       	0       	3/1    	3    	1    	3/2     	1               	3/2   	    	-1 	53  	36
6  	6  	0       	0       	3/1    	4    	1    	3/2     	1               	3/2   	    	-1 	53  	39
6  	6  	0       	0       	3/1    	2    	1    	3/2     	1               	3/2   	    	3  	57  	33
6  	6  	0       	0       	3/1    	1    	1    	1       	1               	1     	    	3  	69  	30
6  	6  	1       	1       	3/1    	1    	1    	1       	1               	1     	    	3  	69  	31
6  	6  	3/2     	3/2     	3/1    	3    	1    	1/2     	1/2             	1     	    	-1 	53  	37
6  	6  	3/2     	3/2     	3/1    	4    	1    	1/2     	1/2             	1     	    	-1 	53  	40
6  	6  	3/2     	3/2     	3/1    	2    	1    	1/2     	1/2             	1     	    	3  	57  	34
6  	6  	2       	2       	3/1    	3    	1    	1       	1               	1     	    	-1 	53  	38
6  	6  	2       	2       	3/1    	4    	1    	1       	1               	1     	    	-1 	53  	41
6  	6  	2       	2       	3/1    	2    	1    	1       	1               	1     	    	3  	57  	35
6  	6  	2       	2       	3/1    	1    	1    	1       	1               	1     	    	3  	69  	32
7  	7  	0       	0       	3/1    	3    	1    	1       	1               	1     	    	4  	52  	45
7  	7  	0       	0       	3/1    	4    	1    	1       	1               	1     	    	4  	52  	47
7  	7  	0       	0       	3/1    	1    	1    	1       	1               	1     	    	1  	67  	42
7  	7  	1       	1       	3/1    	3    	1    	2       	2               	1     	    	-1 	53  	46
7  	7  	1       	1       	3/1    	4    	1    	2       	2               	1     	    	-1 	53  	48
7  	7  	1       	1       	3/1    	1    	1    	2       	2               	1     	    	3  	69  	43
7  	7  	2       	2       	3/1    	2    	1    	1       	1               	1     	    	3  	57  	44
8  	8  	0       	0       	3/1    	3    	1    	3/2     	1               	3/2   	    	2  	50  	55
8  	8  	0       	0       	3/1    	4    	1    	3/2     	1               	3/2   	    	2  	50  	58
8  	8  	0       	0       	3/1    	2    	1    	1       	1               	1     	    	2  	62  	52
8  	8  	0       	0       	3/1    	1    	1    	3/2     	1               	3/2   	    	-1 	65  	49
8  	8  	1       	1       	3/1    	2    	1    	1       	1               	1     	    	2  	62  	53
8  	8  	3/2     	3/2     	3/1    	3    	1    	1/2     	1/2             	1     	    	2  	50  	56
8  	8  	3/2     	3/2     	3/1    	4    	1    	1/2     	1/2             	1     	    	2  	50  	59
8  	8  	3/2     	3/2     	3/1    	1    	1    	1/2     	1/2             	1     	    	-1 	65  	50
8  	8  	2       	2       	3/1    	3    	1    	1       	1               	1     	    	2  	50  	57
8  	8  	2       	2       	3/1    	4    	1    	1       	1               	1     	    	2  	50  	60
8  	8  	2       	2       	3/1    	2    	1    	1       	1               	1     	    	2  	62  	54
8  	8  	2       	2       	3/1    	1    	1    	1       	1               	1     	    	-1 	65  	51
9  	9  	0       	0       	3/1    	3    	1    	1       	1               	1     	    	3  	57  	65
9  	9  	0       	0       	3/1    	4    	1    	1       	1               	1     	    	3  	57  	67
9  	9  	0       	0       	3/1    	2    	1    	1       	1               	1     	    	0  	60  	63
9  	9  	0       	0       	3/1    	1    	1    	1       	1               	1     	    	4  	64  	61
9  	9  	1       	1       	3/1    	3    	1    	2       	2               	1     	    	-1 	53  	66
9  	9  	1       	1       	3/1    	4    	1    	2       	2               	1     	    	-1 	53  	68
9  	9  	1       	1       	3/1    	2    	1    	2       	2               	1     	    	2  	62  	64
9  	9  	1       	1       	3/1    	1    	1    	2       	2               	1     	    	-1 	65  	62
10 	10 	0       	0       	3/1    	3    	1    	3/2     	1               	3/2   	    	1  	55  	75
10 	10 	0       	0       	3/1    	4    	1    	3/2     	1               	3/2   	    	1  	55  	78
10 	10 	0       	0       	3/1    	2    	1    	3/2     	1               	3/2   	    	5  	59  	72
10 	10 	0       	0       	3/1    	1    	1    	3/2     	1               	3/2   	    	2  	62  	69
10 	10 	3/2     	3/2     	3/1    	3    	1    	1/2     	1/2             	1     	    	1  	55  	76
10 	10 	3/2     	3/2     	3/1    	4    	1    	1/2     	1/2             	1     	    	1  	55  	79
10 	10 	3/2     	3/2     	3/1    	2    	1    	1/2     	1/2             	1     	    	5  	59  	73
