mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1 	1 	0       	0       	4/4    	3    	1    	1       	1               	1     	1   	2  	74  	0
2 	2 	0       	0       	4/4    	3    	1    	1/4     	1/4             	1     	-1  	2  	74  	1
2 	2 	0       	0       	4/4    	4    	1    	1       	1               	1     	    	2  	74  	6
2 	2 	1/4     	1/4     	4/4    	3    	1    	1/8     	1/8             	1     	    	7  	73  	2
2 	2 	3/8     	3/8     	4/4    	3    	1    	1/8     	1/8             	1     	    	2  	74  	3
2 	2 	1/2     	1/2     	4/4    	3    	1    	3/8     	1/4             	3/2   	    	4  	76  	4
2 	2 	7/8     	7/8     	4/4    	3    	1    	1/8     	1/8             	1     	    	4  	76  	5
3 	3 	0       	0       	4/4    	4    	1    	1/8     	1/8             	1     	    	7  	73  	11
3 	3 	0       	0       	4/4    	3    	1    	1/8     	1/8             	1     	    	4  	76  	7
3 	3 	1/8     	1/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	5  	71  	12
3 	3 	1/8     	1/8     	4/4    	3    	1    	1/8     	1/8             	1     	    	4  	76  	8
3 	3 	1/4     	1/4     	4/4    	4    	1    	1/8     	1/8             	1     	    	3  	69  	13
3 	3 	1/4     	1/4     	4/4    	3    	1    	1/2     	1/2             	1     	    	4  	76  	9
3 	3 	3/8     	3/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	1  	67  	14
3 	3 	1/2     	1/2     	4/4    	4    	1    	1/8     	1/8             	1     	    	6  	66  	15
3 	3 	5/8     	5/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	4  	64  	16
3 	3 	3/4     	3/4     	4/4    	4    	1    	1/8     	1/8             	1     	    	6  	66  	17
3 	3 	3/4     	3/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	4  	76  	10
3 	3 	7/8     	7/8     	4/4    	4    	1    	1/8     	1/8             	1     	    	1  	67  	18
4 	4 	0       	0       	4/4    	5    	1    	3/4     	1/2             	3/2   	    	2  	50  	28
4 	4 	0       	0       	4/4    	2    	1    	3/4     	1/2             	3/2   	    	6  	66  	20
4 	4 	0       	0       	4/4    	4    	1    	1/2     	1/2             	1     	    	3  	69  	26
4 	4 	0       	0       	4/4    	3    	1    	1/2     	1/2             	1     	    	2  	74  	23
4 	4 	0       	0       	4/4    	1    	1    	1       	1               	1     	1   	2  	74  	19
4 	4 	1/2     	1/2     	4/4    	4    	1    	1/2     	1/2             	1     	    	3  	69  	27
4 	4 	1/2     	1/2     	4/4    	3    	1    	1/4     	1/4             	1     	    	2  	74  	24
4 	4 	3/4     	3/4     	4/4    	5    	1    	1/8     	1/8             	1     	    	7  	49  	29
4 	4 	3/4     	3/4     	4/4    	2    	1    	1/8     	1/8             	1     	    	4  	64  	21
4 	4 	3/4     	3/4     	4/4    	3    	1    	1/4     	1/4             	1     	    	2  	74  	25
4 	4 	7/8     	7/8     	4/4    	5    	1    	1/8     	1/8             	1     	    	2  	50  	30
4 	4 	7/8     	7/8     	4/4    	2    	1    	1/8     	1/8             	1     	    	6  	66  	22
5 	5 	0       	0       	4/4    	5    	1    	3/8     	1/4             	3/2   	    	4  	52  	44
5 	5 	0       	0       	4/4    	2    	1    	3/8     	1/4             	3/2   	    	1  	67  	36
5 	5 	0       	0       	4/4    	3    	1    	3/8     	1/4             	3/2   	    	5  	71  	41
5 	5 	0       	0       	4/4    	1    	1    	1/2     	1/2             	1     	-1  	2  	74  	31
5 	5 	3/8     	3/8     	4/4    	5    	1    	1/8     	1/8             	1     	    	4  	52  	45
5 	5 	3/8     	3/8     	4/4    	2    	1    	1/8     	1/8             	1     	    	1  	67  	37
