	index	piece	corpus	year	chord_num	max_val	min_val	pieces_avg	corpus_year	corpus_avg	corpus_id	piece_id
0	85	op01n02b	corelli	1681	121	0	-11	-0.8760330578512396	1687.9615384615386	-0.7196093731306572	1	1
1	86	op01n03a	corelli	1681	66	0	-6	-0.5757575757575758	1687.9615384615386	-0.7196093731306572	1	2
2	87	op01n03b	corelli	1681	223	0	-15	-0.5426008968609866	1687.9615384615386	-0.7196093731306572	1	3
3	88	op01n04a	corelli	1681	52	0	-6	-0.5384615384615384	1687.9615384615386	-0.7196093731306572	1	4
4	89	op01n04b	corelli	1681	26	0	-6	-0.5384615384615384	1687.9615384615386	-0.7196093731306572	1	5
5	90	op01n04c	corelli	1681	117	5	-15	-0.8547008547008547	1687.9615384615386	-0.7196093731306572	1	6
6	91	op01n04d	corelli	1681	115	8	-14	-0.6608695652173913	1687.9615384615386	-0.7196093731306572	1	7
7	92	op01n05a	corelli	1681	90	0	-11	-1.1666666666666667	1687.9615384615386	-0.7196093731306572	1	8
8	93	op01n05b	corelli	1681	149	0	-11	-0.7919463087248322	1687.9615384615386	-0.7196093731306572	1	9
9	94	op01n05c	corelli	1681	59	0	-20	-1.1016949152542372	1687.9615384615386	-0.7196093731306572	1	10
10	95	op01n05d	corelli	1681	117	6	-15	-0.48717948717948717	1687.9615384615386	-0.7196093731306572	1	11
11	96	op01n06a	corelli	1681	44	6	-6	-0.5681818181818182	1687.9615384615386	-0.7196093731306572	1	12
12	97	op01n08a	corelli	1681	56	0	-6	-0.6428571428571429	1687.9615384615386	-0.7196093731306572	1	13
13	98	op01n08c	corelli	1681	119	0	-11	-0.7899159663865546	1687.9615384615386	-0.7196093731306572	1	14
14	99	op01n10a	corelli	1681	45	0	-6	-0.9777777777777777	1687.9615384615386	-0.7196093731306572	1	15
15	100	op01n10b	corelli	1681	70	0	-6	-0.7285714285714285	1687.9615384615386	-0.7196093731306572	1	16
16	101	op01n12b	corelli	1681	101	0	-11	-1.6336633663366336	1687.9615384615386	-0.7196093731306572	1	17
17	102	op01n12d	corelli	1681	225	0	-11	-0.9155555555555556	1687.9615384615386	-0.7196093731306572	1	18
18	103	op03n02a	corelli	1689	68	0	-6	-0.4411764705882353	1687.9615384615386	-0.7196093731306572	1	19
