mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
30	30	0	0	3/4	2	1		VII[viio6/VI		a	i	VII	viio6/VI	vii	o	6		VI			o	1	1	-2, -5, 1		1	-2
30	30	1/8	1/8	3/4	2	1		VI6		a	i	VII	VI6	VI		6					M	1	1	0, -3, -4		-4	0
30	30	1/4	1/4	3/4	2	1		vii]		a	i	VII	vii	vii							m	1	1	-2, -5, -1		-2	-2
30	30	3/8	3/8	3/4	2	1		vii2		a	i		vii2	vii		2					mm7	1	1	-4, -2, -5, -1		-2	-4
30	30	1/2	1/2	3/4	2	1		V65/VI		a	i		V65/VI	V		65		VI			Mm7	1	1	1, -2, -5, -3		-3	1
30	30	5/8	5/8	3/4	2	1		vii64		a	i		vii64	vii		64					m	1	1	-1, -2, -5		-2	-1
31	31	0	0	3/4	2	1		V7(+2)/VI		a	i		V7(+2)/VI	V		7	+2	VI			Mm7	1	1	-3, 1, -2, -5	-1	-3	-3
31	31	1/8	1/8	3/4	2	1		i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
32	32	0	0	3/4	2	1		vii[viio6/VI		a	i	vii	viio6/VI	vii	o	6		VI			o	1	1	-2, -5, 1		1	-2
32	32	1/8	1/8	3/4	2	1		VI6		a	i	vii	VI6	VI		6					M	1	1	0, -3, -4		-4	0
32	32	1/4	1/4	3/4	2	1		vii]		a	i	vii	vii	vii							m	1	1	-2, -5, -1		-2	-2
32	32	3/8	3/8	3/4	2	1		vii2		a	i		vii2	vii		2					mm7	1	1	-4, -2, -5, -1		-2	-4
32	32	1/2	1/2	3/4	2	1		V65/VI		a	i		V65/VI	V		65		VI			Mm7	1	1	1, -2, -5, -3		-3	1
32	32	5/8	5/8	3/4	2	1		vii64		a	i		vii64	vii		64					m	1	1	-1, -2, -5		-2	-1
33	33	0	0	3/4	2	1		III[V7(+2)/VI		a	i	III	V7(+2)/VI	V		7	+2	VI			Mm7	1	1	-3, 1, -2, -5	-1	-3	-3
33	33	1/8	1/8	3/4	2	1		i6		a	i	III	i6	i		6					m	1	1	-3, 1, 0		0	-3
33	33	5/8	5/8	3/4	2	1		bII6		a	i	III	bII6	bII		6					M	1	1	-1, -4, -5		-5	-1
34	34	1/8	1/8	3/4	2	1		III6		a	i	III	III6	III		6					M	1	1	1, -2, -3		-3	1
34	34	3/8	3/8	3/4	2	1		i6]		a	i	III	i6	i		6					m	1	1	-3, 1, 0		0	-3
35	35	0	0	3/4	2	1		bII[bII(4)		a	i	bII	bII(4)	bII			4				M	1	1	-5, 1, -4		-5	-5
35	35	1/4	1/4	3/4	2	1		bII		a	i	bII	bII	bII							M	1	1	-5, -1, -4		-5	-5
35	35	1/2	1/2	3/4	2	1		bII(+2)		a	i	bII	bII(+2)	bII			+2				M	1	1	-5, -1, -4	-3	-5	-5
36	36	0	0	3/4	2	1		vi6/bII		a	i	bII	vi6/bII	vi		6		bII			m	1	1	-5, -1, -2		-2	-5
36	36	1/8	1/8	3/4	2	1		bIIM7		a	i	bII	bIIM7	bII	M	7					MM7	1	1	-5, -1, -4, 0		-5	-5
36	36	3/8	3/8	3/4	2	1		vii%43/bII		a	i	bII	vii%43/bII	vii	%	43		bII			%7	1	1	-6, -2, 0, -3		0	-6
