mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
78	78	0	0	3/4	2	1		V43/bI		a	i		V43/bI	V		43		bI			Mm7	1	1	-5, -8, -6, -2		-6	-5
78	78	1/4	1/4	3/4	2	1		V2/bI		a	i		V2/bI	V		2		bI			Mm7	1	1	-8, -6, -2, -5		-6	-8
78	78	1/2	1/2	3/4	2	1		V/bI		a	i		V/bI	V				bI			M	1	1	-6, -2, -5		-6	-6
79	79	0	0	3/4	2	1		V43/bI		a	i		V43/bI	V		43		bI			Mm7	1	1	-5, -8, -6, -2		-6	-5
79	79	1/4	1/4	3/4	2	1		V65/bI		a	i		V65/bI	V		65		bI			Mm7	1	1	-2, -5, -8, -6		-6	-2
79	79	1/2	1/2	3/4	2	1		V/bI		a	i		V/bI	V				bI			M	1	1	-6, -2, -5		-6	-6
80	80	0	0	3/4	2	1		#vi7|DC		a	i		#vi7	#vi		7			DC		mm7	1	1	3, 0, 4, 1		3	3
80	80	1/4	1/4	3/4	2	1		#iii		a	i		#iii	#iii							m	1	1	4, 1, 5		4	4
80	80	1/2	1/2	3/4	2	1		V		a	i		V	V							M	1	1	1, 5, 2		1	1
81	81	0	0	3/4	2	1		V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
81	81	1/4	1/4	3/4	2	1		V2		a	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
81	81	1/2	1/2	3/4	2	1		V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
