mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
45	45	0	0	9/8	2	1		V7(42)	Db	I	V	V7(42)	V		7	42				Mm7	0	0	3, 0, 2, -1		1	3
45	45	3/4	3/4	9/8	2	1		V7	Db	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
46	46	0	0	9/8	2	1		V7(42)	Db	I	V	V7(42)	V		7	42				Mm7	0	0	3, 0, 2, -1		1	3
46	46	3/4	3/4	9/8	2	1		V7]	Db	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
47	47	0	0	9/8	2	1		ii65	Db	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
47	47	3/8	3/8	9/8	2	1		ii43	Db	I		ii43	ii		43					mm7	0	0	3, 0, 2, -1		2	3
47	47	3/4	3/4	9/8	2	1		vii%7	Db	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
48	48	0	0	9/8	2	1		ii65	Db	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
48	48	3/8	3/8	9/8	2	1		ii43	Db	I		ii43	ii		43					mm7	0	0	3, 0, 2, -1		2	3
48	48	3/4	3/4	9/8	2	1		vii%7	Db	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
49	49	0	0	9/8	2	1		ii65	Db	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
50	50	0	0	9/8	2	1		ii65(#4)	Db	I		ii65(#4)	ii		65	#4				mm7	0	0	-1, 8, 0, 2		2	-1
51	51	0	0	9/8	2	1		iii[iii	Db	I	iii	iii	iii							m	0	0	4, 1, 5		4	4
52	52	0	0	9/8	2	1		V7/vi	Db	I	iii	V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
53	53	0	0	9/8	2	1		vi43(4)	Db	I	iii	vi43(4)	vi		43	4				mm7	0	0	4, 1, 3, 2		3	4
53	53	3/8	3/8	9/8	2	1		vi43]	Db	I	iii	vi43	vi		43					mm7	0	0	4, 1, 3, 0		3	4
54	54	0	0	9/8	2	1		V43(4)	Db	I		V43(4)	V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
54	54	3/8	3/8	9/8	2	1		V43	Db	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
55	55	0	0	9/8	2	1		ii2	Db	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
55	55	3/4	3/4	9/8	2	1		iii43	Db	I		iii43	iii		43					mm7	0	0	5, 2, 4, 1		4	5
56	56	0	0	9/8	2	1		vii%7(64)	Db	I		vii%7(64)	vii	%	7	64				%7	0	0	5, 4, 1, 3		5	5
56	56	3/8	3/8	9/8	2	1		vii%7	Db	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
56	56	3/4	3/4	9/8	2	1		V7/vi	Db	I		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
57	57	0	0	9/8	2	1		vi2	Db	I		vi2	vi		2					mm7	0	0	1, 3, 0, 4		3	1
57	57	3/4	3/4	9/8	2	1		ii65	Db	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
58	58	0	0	9/8	2	1		vi43(4)	Db	I		vi43(4)	vi		43	4				mm7	0	0	4, 1, 3, 2		3	4
58	58	3/8	3/8	9/8	2	1		vi43	Db	I		vi43	vi		43					mm7	0	0	4, 1, 3, 0		3	4
58	58	3/4	3/4	9/8	2	1		V7	Db	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
59	59	0	0	9/8	2	1		I|IAC}{	Db	I		I	I					IAC	}{	M	0	0	0, 4, 1		0	0
59	59	3/8	3/8	9/8	2	1		V7/IV	Db	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
60	60	0	0	9/8	2	1		ii65(2)	Db	I		ii65(2)	ii		65	2				mm7	0	0	-1, 3, 0, 4		2	-1
60	60	3/8	3/8	9/8	2	1		ii65	Db	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
61	61	0	0	9/8	2	1		V43(2)/IV	Db	I		V43(2)/IV	V		43	2	IV			Mm7	0	0	1, -2, 2, 4		0	1
61	61	3/8	3/8	9/8	2	1		V43/IV	Db	I		V43/IV	V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
62	62	0	0	9/8	2	1		vi(4)	Db	I		vi(4)	vi			4				m	0	0	3, 2, 4		3	3
62	62	3/4	3/4	9/8	2	1		vi	Db	I		vi	vi							m	0	0	3, 0, 4		3	3
63	63	0	0	9/8	2	1		I6	Db	I		I6	I		6					M	0	0	4, 1, 0		0	4
63	63	3/8	3/8	9/8	2	1		vi64	Db	I		vi64	vi		64					m	0	0	4, 3, 0		3	4
63	63	3/4	3/4	9/8	2	1		I6	Db	I		I6	I		6					M	0	0	4, 1, 0		0	4
64	64	0	0	9/8	2	1		ii7	Db	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
65	65	0	0	9/8	2	1		V7	Db	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
65	65	3/8	3/8	9/8	2	1		iii6	Db	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
65	65	3/4	3/4	9/8	2	1		V7	Db	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
66	66	0	0	9/8	2	1		I|PAC}	Db	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
66	66	3/8	3/8	9/8	2	1		iii	Db	I		iii	iii							m	0	0	4, 1, 5		4	4
66	66	3/4	3/4	9/8	2	1		I	Db	I		I	I							M	0	0	0, 4, 1		0	0
67	67	0	0	9/8	2	1		iii	Db	I		iii	iii							m	0	0	4, 1, 5		4	4
67	67	3/8	3/8	9/8	2	1		bIII6	Db	I		bIII6	bIII		6					M	0	0	1, -2, -3		-3	1
67	67	3/4	3/4	9/8	2	1		i64	Db	I		i64	i		64					m	0	0	1, 0, -3		0	1
68	68	0	0	9/8	2	1		I	Db	I		I	I							M	0	0	0, 4, 1		0	0
68	68	3/8	3/8	9/8	2	1		iii	Db	I		iii	iii							m	0	0	4, 1, 5		4	4
68	68	3/4	3/4	9/8	2	1		I	Db	I		I	I							M	0	0	0, 4, 1		0	0
69	69	0	0	9/8	2	1		iii	Db	I		iii	iii							m	0	0	4, 1, 5		4	4
69	69	3/8	3/8	9/8	2	1		bIII6	Db	I		bIII6	bIII		6					M	0	0	1, -2, -3		-3	1
69	69	3/4	3/4	9/8	2	1		i64	Db	I		i64	i		64					m	0	0	1, 0, -3		0	1
70	70	0	0	9/8	2	1		bIII6	Db	I		bIII6	bIII		6					M	0	0	1, -2, -3		-3	1
70	70	3/8	3/8	9/8	2	1		i64	Db	I		i64	i		64					m	0	0	1, 0, -3		0	1
71	71	0	0	9/8	2	1		I	Db	I		I	I							M	0	0	0, 4, 1		0	0
